Geneid	Convert, Merge, Randomize on data 109, data 106, and data 103
Ng00001	0
Ng00002	0
Ng00003	0
Ng00004	8
Ng00005	5
Ng00006	1865
Ng00007	1
Ng00008	1657
Ng00009	2097
Ng00010	8287
Ng00011	2510
Ng00012	2249
Ng00013	32
Ng00014	2554
Ng00015	15671
Ng00016	5677
Ng00017	248
Ng00018	5148
Ng00019	4328
Ng00020	19
Ng00021	5757
Ng00022	1782
Ng00023	1066
Ng00024	820
Ng00025	1027
Ng00026	1275
Ng00027	1612
Ng00028	1948
Ng00029	1837
Ng00030	2543
Ng00031	3540
Ng00032	4172
Ng00033	7471
Ng00034	14127
Ng00035	8
Ng00036	3022
Ng00037	1124
Ng00038	34
Ng00039	1425
Ng00040	49
Ng00041	1210
Ng00042	162
Ng00043	0
Ng00044	6621
Ng00045	5748
Ng00046	1689
Ng00047	941
Ng00048	778
Ng00049	23101
Ng00050	10
Ng00051	4231
Ng00052	0
Ng00053	2
Ng00054	1744
Ng00055	2207
Ng00056	1323
Ng00057	2027
Ng00058	12392
Ng00059	2043
Ng00060	1406
Ng00061	2956
Ng00062	2393
Ng00063	9019
Ng00064	2
Ng00065	7
Ng00066	644
Ng00067	74
Ng00068	659
Ng00069	0
Ng00070	63
Ng00071	0
Ng00072	2760
Ng00073	1796
Ng00074	38
Ng00075	939
Ng00076	3631
Ng00077	454
Ng00078	91
Ng00079	1191
Ng00080	1435
Ng00081	6428
Ng00082	2004
Ng00083	1778
Ng00084	2140
Ng00085	440
Ng00086	1037
Ng00087	2959
Ng00088	13314
Ng00089	28
Ng00090	502
Ng00091	139
Ng00092	4938
Ng00093	1305
Ng00094	107
Ng00095	2671
Ng00096	34
Ng00097	4146
Ng00098	2061
Ng00099	137
Ng00100	4537
Ng00101	940
Ng00102	13821
Ng00103	3919
Ng00104	7878
Ng00105	9533
Ng00106	2649
Ng00107	1235
Ng00108	2660
Ng00109	1923
Ng00110	4011
Ng00111	441
Ng00112	197
Ng00113	2094
Ng00114	5919
Ng00115	5644
Ng00116	170
Ng00117	239
Ng00118	2101
Ng00119	14735
Ng00120	9
Ng00121	2615
Ng00122	0
Ng00123	203
Ng00124	2473
Ng00125	4305
Ng00126	9116
Ng00127	2619
Ng00128	1579
Ng00129	45
Ng00130	396
Ng00131	3174
Ng00132	2060
Ng00133	3072
Ng00134	926
Ng00135	3452
Ng00136	8498
Ng00137	1105
Ng00138	6949
Ng00139	2935
Ng00140	9220
Ng00141	324
Ng00142	2267
Ng00143	955
Ng00144	1182
Ng00145	3568
Ng00146	2071
Ng00147	352
Ng00148	5394
Ng00149	3371
Ng00150	3127
Ng00151	1692
Ng00152	0
Ng00153	17274
Ng00154	663
Ng00155	391
Ng00156	1780
Ng00157	184
Ng00158	84
Ng00159	72047
Ng00160	3369
Ng00161	3088
Ng00162	425
Ng00163	1046
Ng00164	2424
Ng00165	2526
Ng00166	6674
Ng00167	2495
Ng00168	2386
Ng00169	2396
Ng00170	784
Ng00171	0
Ng00172	1561
Ng00173	873
Ng00174	4921
Ng00175	2757
Ng00176	3284
Ng00177	5006
Ng00178	56
Ng00179	1707
Ng00180	6283
Ng00181	36148
Ng00182	14046
Ng00183	2790
Ng00184	0
Ng00185	1737
Ng00186	1339
Ng00187	91885
Ng00188	1901
Ng00189	1755
Ng00190	213
Ng00191	2552
Ng00192	2248
Ng00193	209
Ng00194	3405
Ng00195	0
Ng00196	1503
Ng00197	824
Ng00198	1143
Ng00199	2238
Ng00200	5306
Ng00201	1577
Ng00202	6112
Ng00203	1429
Ng00204	11817
Ng00205	2120
Ng00206	5215
Ng00207	6646
Ng00208	3088
Ng00209	1114
Ng00210	0
Ng00211	33
Ng00212	1891
Ng00213	3489
Ng00214	6251
Ng00215	486
Ng00216	1898
Ng00217	2407
Ng00218	155
Ng00219	5536
Ng00220	1932
Ng00221	2500
Ng00222	12415
Ng00223	7518
Ng00224	2492
Ng00225	2131
Ng00226	5861
Ng00227	1389
Ng00228	5118
Ng00229	5871
Ng00230	5661
Ng00231	61
Ng00232	3289
Ng00233	2421
Ng00234	68
Ng00235	2930
Ng00236	0
Ng00237	3120
Ng00238	395
Ng00239	1021
Ng00240	23
Ng00241	3099
Ng00242	4
Ng00243	69
Ng00244	7675
Ng00245	2787
Ng00246	3236
Ng00247	2681
Ng00248	2015
Ng00249	1010
Ng00250	0
Ng00251	2976
Ng00252	1956
Ng00253	2386
Ng00254	1739
Ng00255	5471
Ng00256	33
Ng00257	3330
Ng00258	3998
Ng00259	3086
Ng00260	3067
Ng00261	5798
Ng00262	438
Ng00263	1899
Ng00264	80
Ng00265	0
Ng00266	991
Ng00267	2165
Ng00268	877
Ng00269	2497
Ng00270	1471
Ng00271	1449
Ng00272	458
Ng00273	306
Ng00274	1612
Ng00275	2187
Ng00276	308
Ng00277	2695
Ng00278	12723
Ng00279	8433
Ng00280	2246
Ng00281	2868
Ng00282	1121
Ng00283	6304
Ng00284	1883
Ng00285	3074
Ng00286	3019
Ng00287	5404
Ng00288	1002
Ng00289	990
Ng00290	0
Ng00291	14736
Ng00292	1824
Ng00293	31008
Ng00294	3276
Ng00295	2831
Ng00296	4636
Ng00297	7561
Ng00298	4799
Ng00299	917
Ng00300	2000
Ng00301	106
Ng00302	1960
Ng00303	207
Ng00304	3098
Ng00305	2949
Ng00306	5542
Ng00307	3168
Ng00308	10994
Ng00309	2591
Ng00310	7572
Ng00311	7211
Ng00312	8360
Ng00313	472
Ng00314	4666
Ng00315	2641
Ng00316	0
Ng00317	150
Ng00318	1362
Ng00319	6254
Ng00320	10281
Ng00321	0
Ng00322	723
Ng00323	3561
Ng00324	66985
Ng00325	4276
Ng00326	4037
Ng00327	7692
Ng00328	2526
Ng00329	3855
Ng00330	2109
Ng00331	3707
Ng00332	1593
Ng00333	5127
Ng00334	0
Ng00335	7293
Ng00336	1003
Ng00337	27279
Ng00338	0
Ng00339	4962
Ng00340	1376
Ng00341	1662
Ng00342	1984
Ng00343	2174
Ng00344	4950
Ng00345	5478
Ng00346	1959
Ng00347	1647
Ng00348	15808
Ng00349	5148
Ng00350	3579
Ng00351	16701
Ng00352	2318
Ng00353	1690
Ng00354	962
Ng00355	40
Ng00356	10594
Ng00357	3179
Ng00358	984
Ng00359	1040
Ng00360	98
Ng00361	814
Ng00362	5179
Ng00363	1003
Ng00364	141
Ng00365	8112
Ng00366	2195
Ng00367	11113
Ng00368	1476
Ng00369	7280
Ng00370	547
Ng00371	1459
Ng00372	4936
Ng00373	289
Ng00374	634
Ng00375	1181
Ng00376	32
Ng00377	344
Ng00378	1251
Ng00379	1565
Ng00380	39
Ng00381	3314
Ng00382	6046
Ng00383	3238
Ng00384	0
Ng00385	0
Ng00386	4606
Ng00387	9230
Ng00388	3987
Ng00389	896
Ng00390	238
Ng00391	4284
Ng00392	1398
Ng00393	0
Ng00394	11150
Ng00395	221
Ng00396	28
Ng00397	13634
Ng00398	18359
Ng00399	1909
Ng00400	3702
Ng00401	1882
Ng00402	8314
Ng00403	1016
Ng00404	14102
Ng00405	8126
Ng00406	1741
Ng00407	1838
Ng00408	9543
Ng00409	4644
Ng00410	551
Ng00411	226
Ng00412	2646
Ng00413	33
Ng00414	314
Ng00415	2023
Ng00416	785
Ng00417	636
Ng00418	807
Ng00419	1397
Ng00420	773
Ng00421	1635
Ng00422	0
Ng00423	1121
Ng00424	3909
Ng00425	367
Ng00426	2059
Ng00427	1496
Ng00428	465
Ng00429	6243
Ng00430	11266
Ng00431	11
Ng00432	802
Ng00433	774
Ng00434	1879
Ng00435	4721
Ng00436	2616
Ng00437	0
Ng00438	681
Ng00439	669
Ng00440	617
Ng00441	2567
Ng00442	2947
Ng00443	3721
Ng00444	148
Ng00445	2644
Ng00446	296
Ng00447	916
Ng00448	2153
Ng00449	2130
Ng00450	131
Ng00451	4401
Ng00452	180
Ng00453	91
Ng00454	574
Ng00455	1385
Ng00456	6423
Ng00457	3554
Ng00458	24
Ng00459	81
Ng00460	29687
Ng00461	381
Ng00462	1011
Ng00463	1398
Ng00464	985
Ng00465	1279
Ng00466	599
Ng00467	332
Ng00468	903
Ng00469	4733
Ng00470	1568
Ng00471	0
Ng00472	0
Ng00473	1433
Ng00474	14
Ng00475	2735
Ng00476	78
Ng00477	3741
Ng00478	1220
Ng00479	0
Ng00480	7936
Ng00481	6273
Ng00482	2566
Ng00483	1915
Ng00484	818
Ng00485	0
Ng00486	957
Ng00487	993
Ng00488	5420
Ng00489	2973
Ng00490	72
Ng00491	1476
Ng00492	800
Ng00493	1207
Ng00494	1977
Ng00495	4622
Ng00496	4155
Ng00497	284
Ng00498	55
Ng00499	2149
Ng00500	2277
Ng00501	58
Ng00502	3208
Ng00503	3436
Ng00504	0
Ng00505	2152
Ng00506	1435
Ng00507	1166
Ng00508	1971
Ng00509	2823
Ng00510	4017
Ng00511	4312
Ng00512	1604
Ng00513	1377
Ng00514	17954
Ng00515	1355
Ng00516	1592
Ng00517	1243
Ng00518	722
Ng00519	1879
Ng00520	11271
Ng00521	23891
Ng00522	10950
Ng00523	1780
Ng00524	14
Ng00525	1112
Ng00526	2261
Ng00527	805
Ng00528	171
Ng00529	0
Ng00530	313
Ng00531	406
Ng00532	613
Ng00533	1667
Ng00534	2182
Ng00535	3278
Ng00536	3944
Ng00537	2637
Ng00538	151
Ng00539	265
Ng00540	570
Ng00541	6
Ng00542	1593
Ng00543	91
Ng00544	44
Ng00545	67
Ng00546	2071
Ng00547	3648
Ng00548	2889
Ng00549	1495
Ng00550	248
Ng00551	286
Ng00552	516
Ng00553	1147
Ng00554	4241
Ng00555	3457
Ng00556	28
Ng00557	2202
Ng00558	3077
Ng00559	2389
Ng00560	1698
Ng00561	2511
Ng00562	2589
Ng00563	146
Ng00564	424
Ng00565	1712
Ng00566	450
Ng00567	50248
Ng00568	6639
Ng00569	2909
Ng00570	4303
Ng00571	1409
Ng00572	1968
Ng00573	140
Ng00574	5121
Ng00575	1972
Ng00576	12
Ng00577	8
Ng00578	1262
Ng00579	882
Ng00580	3914
Ng00581	14644
Ng00582	966
Ng00583	1681
Ng00584	73
Ng00585	5501
Ng00586	2662
Ng00587	375
Ng00588	3208
Ng00589	1075
Ng00590	11
Ng00591	233
Ng00592	1646
Ng00593	24
Ng00594	1128
Ng00595	835
Ng00596	636
Ng00597	293953
Ng00598	5815
Ng00599	3414
Ng00600	417
Ng00601	2251
Ng00602	303
Ng00603	443
Ng00604	8826
Ng00605	547
Ng00606	7710
Ng00607	3464
Ng00608	83
Ng00609	8
Ng00610	12
Ng00611	4243
Ng00612	832
Ng00613	4368
Ng00614	2
Ng00615	253
Ng00616	1310
Ng00617	4644
Ng00618	0
Ng00619	303
Ng00620	234
Ng00621	427
Ng00622	2357
Ng00623	6161
