Geneid	Convert, Merge, Randomize on data 97, data 94, and data 91
Ng00001	0
Ng00002	0
Ng00003	0
Ng00004	0
Ng00005	37
Ng00006	3521
Ng00007	0
Ng00008	363
Ng00009	1377
Ng00010	14632
Ng00011	4260
Ng00012	2265
Ng00013	645
Ng00014	2497
Ng00015	14744
Ng00016	4576
Ng00017	469
Ng00018	2951
Ng00019	5239
Ng00020	112
Ng00021	4161
Ng00022	895
Ng00023	481
Ng00024	996
Ng00025	2496
Ng00026	901
Ng00027	1916
Ng00028	1990
Ng00029	1681
Ng00030	1800
Ng00031	2839
Ng00032	2566
Ng00033	8872
Ng00034	2106
Ng00035	8
Ng00036	2615
Ng00037	1138
Ng00038	54
Ng00039	1922
Ng00040	48
Ng00041	1186
Ng00042	92
Ng00043	0
Ng00044	8947
Ng00045	4602
Ng00046	2271
Ng00047	1158
Ng00048	1782
Ng00049	13562
Ng00050	2
Ng00051	3731
Ng00052	0
Ng00053	0
Ng00054	351
Ng00055	527
Ng00056	436
Ng00057	1902
Ng00058	12765
Ng00059	1383
Ng00060	3038
Ng00061	3863
Ng00062	2418
Ng00063	4692
Ng00064	23
Ng00065	4
Ng00066	1058
Ng00067	66
Ng00068	649
Ng00069	0
Ng00070	28
Ng00071	0
Ng00072	1957
Ng00073	1395
Ng00074	110
Ng00075	589
Ng00076	12641
Ng00077	907
Ng00078	519
Ng00079	1775
Ng00080	1666
Ng00081	6491
Ng00082	2080
Ng00083	2516
Ng00084	1904
Ng00085	261
Ng00086	1074
Ng00087	3789
Ng00088	11551
Ng00089	11
Ng00090	173
Ng00091	84
Ng00092	4915
Ng00093	891
Ng00094	180
Ng00095	5774
Ng00096	33
Ng00097	2395
Ng00098	2622
Ng00099	247
Ng00100	5039
Ng00101	1136
Ng00102	13550
Ng00103	4486
Ng00104	18323
Ng00105	11409
Ng00106	3523
Ng00107	1877
Ng00108	2527
Ng00109	2988
Ng00110	4173
Ng00111	539
Ng00112	305
Ng00113	1201
Ng00114	11593
Ng00115	4827
Ng00116	84
Ng00117	114
Ng00118	1722
Ng00119	24869
Ng00120	3
Ng00121	2272
Ng00122	0
Ng00123	292
Ng00124	3027
Ng00125	4775
Ng00126	6092
Ng00127	4774
Ng00128	3626
Ng00129	19
Ng00130	301
Ng00131	3093
Ng00132	1993
Ng00133	3967
Ng00134	931
Ng00135	3203
Ng00136	8882
Ng00137	1496
Ng00138	4716
Ng00139	3073
Ng00140	9990
Ng00141	176
Ng00142	2880
Ng00143	1015
Ng00144	1839
Ng00145	3524
Ng00146	2083
Ng00147	310
Ng00148	8472
Ng00149	3029
Ng00150	3065
Ng00151	975
Ng00152	0
Ng00153	9550
Ng00154	738
Ng00155	93
Ng00156	4319
Ng00157	260
Ng00158	133
Ng00159	23246
Ng00160	3286
Ng00161	2698
Ng00162	631
Ng00163	986
Ng00164	3612
Ng00165	2552
Ng00166	7950
Ng00167	2486
Ng00168	5083
Ng00169	5435
Ng00170	759
Ng00171	0
Ng00172	1196
Ng00173	1153
Ng00174	6613
Ng00175	2137
Ng00176	2728
Ng00177	3211
Ng00178	76
Ng00179	2711
Ng00180	6636
Ng00181	46119
Ng00182	15363
Ng00183	3263
Ng00184	0
Ng00185	1486
Ng00186	1579
Ng00187	114999
Ng00188	3143
Ng00189	1948
Ng00190	309
Ng00191	3154
Ng00192	2540
Ng00193	645
Ng00194	3980
Ng00195	0
Ng00196	1056
Ng00197	1385
Ng00198	1776
Ng00199	2554
Ng00200	4931
Ng00201	1910
Ng00202	3259
Ng00203	1887
Ng00204	19981
Ng00205	1054
Ng00206	3430
Ng00207	5794
Ng00208	19874
Ng00209	3027
Ng00210	1
Ng00211	103
Ng00212	2262
Ng00213	3197
Ng00214	5767
Ng00215	316
Ng00216	2266
Ng00217	3828
Ng00218	138
Ng00219	6176
Ng00220	1420
Ng00221	3398
Ng00222	12069
Ng00223	7457
Ng00224	3101
Ng00225	2351
Ng00226	6513
Ng00227	1707
Ng00228	5569
Ng00229	5616
Ng00230	8083
Ng00231	127
Ng00232	3425
Ng00233	2961
Ng00234	79
Ng00235	2865
Ng00236	0
Ng00237	4476
Ng00238	425
Ng00239	901
Ng00240	13
Ng00241	3089
Ng00242	6
Ng00243	37
Ng00244	7965
Ng00245	3271
Ng00246	3654
Ng00247	4406
Ng00248	2369
Ng00249	2424
Ng00250	0
Ng00251	5493
Ng00252	1860
Ng00253	2757
Ng00254	1988
Ng00255	5767
Ng00256	107
Ng00257	4189
Ng00258	4256
Ng00259	3024
Ng00260	2817
Ng00261	5607
Ng00262	586
Ng00263	2111
Ng00264	137
Ng00265	0
Ng00266	2186
Ng00267	2936
Ng00268	3366
Ng00269	4949
Ng00270	4238
Ng00271	1770
Ng00272	584
Ng00273	298
Ng00274	2068
Ng00275	2551
Ng00276	813
Ng00277	2534
Ng00278	11858
Ng00279	8013
Ng00280	2219
Ng00281	3177
Ng00282	1271
Ng00283	2737
Ng00284	1911
Ng00285	3391
Ng00286	2776
Ng00287	5948
Ng00288	1064
Ng00289	1165
Ng00290	1
Ng00291	10579
Ng00292	286
Ng00293	30104
Ng00294	2646
Ng00295	2899
Ng00296	4216
Ng00297	6848
Ng00298	6101
Ng00299	1504
Ng00300	2214
Ng00301	72
Ng00302	1952
Ng00303	218
Ng00304	3823
Ng00305	2187
Ng00306	7269
Ng00307	3298
Ng00308	11015
Ng00309	3636
Ng00310	8640
Ng00311	5051
Ng00312	8655
Ng00313	356
Ng00314	2918
Ng00315	3140
Ng00316	0
Ng00317	106
Ng00318	1463
Ng00319	3533
Ng00320	2174
Ng00321	0
Ng00322	435
Ng00323	1616
Ng00324	60613
Ng00325	5075
Ng00326	4558
Ng00327	9299
Ng00328	3316
Ng00329	3542
Ng00330	3578
Ng00331	9998
Ng00332	2056
Ng00333	7041
Ng00334	0
Ng00335	6853
Ng00336	497
Ng00337	29813
Ng00338	0
Ng00339	7500
Ng00340	1622
Ng00341	1841
Ng00342	1890
Ng00343	3033
Ng00344	7363
Ng00345	7156
Ng00346	2134
Ng00347	2297
Ng00348	21861
Ng00349	7426
Ng00350	5526
Ng00351	24421
Ng00352	3217
Ng00353	2626
Ng00354	1652
Ng00355	59
Ng00356	11668
Ng00357	8618
Ng00358	1153
Ng00359	1536
Ng00360	127
Ng00361	1290
Ng00362	6700
Ng00363	1348
Ng00364	168
Ng00365	7976
Ng00366	2045
Ng00367	9687
Ng00368	1596
Ng00369	10438
Ng00370	263
Ng00371	2353
Ng00372	2006
Ng00373	501
Ng00374	545
Ng00375	697
Ng00376	2
Ng00377	466
Ng00378	1518
Ng00379	3110
Ng00380	348
Ng00381	3177
Ng00382	8016
Ng00383	3803
Ng00384	0
Ng00385	0
Ng00386	5164
Ng00387	2359
Ng00388	4342
Ng00389	410
Ng00390	293
Ng00391	4549
Ng00392	1478
Ng00393	0
Ng00394	10786
Ng00395	232
Ng00396	134
Ng00397	16119
Ng00398	20257
Ng00399	1766
Ng00400	4421
Ng00401	2188
Ng00402	9101
Ng00403	840
Ng00404	19324
Ng00405	7107
Ng00406	2163
Ng00407	3875
Ng00408	9185
Ng00409	3596
Ng00410	1019
Ng00411	202
Ng00412	2730
Ng00413	39
Ng00414	151
Ng00415	2184
Ng00416	765
Ng00417	879
Ng00418	1559
Ng00419	1387
Ng00420	1077
Ng00421	2372
Ng00422	0
Ng00423	1336
Ng00424	6051
Ng00425	479
Ng00426	3213
Ng00427	975
Ng00428	218
Ng00429	6618
Ng00430	8876
Ng00431	2
Ng00432	410
Ng00433	697
Ng00434	2170
Ng00435	5390
Ng00436	3156
Ng00437	0
Ng00438	1189
Ng00439	833
Ng00440	102
Ng00441	3618
Ng00442	2607
Ng00443	3023
Ng00444	84
Ng00445	4098
Ng00446	383
Ng00447	868
Ng00448	2130
Ng00449	3816
Ng00450	336
Ng00451	4125
Ng00452	296
Ng00453	85
Ng00454	222
Ng00455	978
Ng00456	4489
Ng00457	2598
Ng00458	26
Ng00459	86
Ng00460	20189
Ng00461	176
Ng00462	578
Ng00463	1737
Ng00464	6092
Ng00465	1553
Ng00466	533
Ng00467	258
Ng00468	1473
Ng00469	3239
Ng00470	2242
Ng00471	0
Ng00472	0
Ng00473	838
Ng00474	3
Ng00475	4914
Ng00476	227
Ng00477	5089
Ng00478	2165
Ng00479	0
Ng00480	9462
Ng00481	5021
Ng00482	2024
Ng00483	1776
Ng00484	3892
Ng00485	0
Ng00486	1245
Ng00487	1863
Ng00488	4354
Ng00489	5840
Ng00490	127
Ng00491	1913
Ng00492	692
Ng00493	1456
Ng00494	850
Ng00495	1595
Ng00496	3891
Ng00497	305
Ng00498	74
Ng00499	2244
Ng00500	2335
Ng00501	203
Ng00502	1549
Ng00503	2757
Ng00504	0
Ng00505	1447
Ng00506	1128
Ng00507	2176
Ng00508	1641
Ng00509	2362
Ng00510	2613
Ng00511	7025
Ng00512	2111
Ng00513	1380
Ng00514	17490
Ng00515	1244
Ng00516	945
Ng00517	2399
Ng00518	963
Ng00519	1976
Ng00520	17150
Ng00521	20531
Ng00522	2752
Ng00523	2576
Ng00524	7
Ng00525	1396
Ng00526	2153
Ng00527	713
Ng00528	87
Ng00529	2
Ng00530	302
Ng00531	512
Ng00532	535
Ng00533	2294
Ng00534	2758
Ng00535	5223
Ng00536	5732
Ng00537	2110
Ng00538	120
Ng00539	255
Ng00540	398
Ng00541	2
Ng00542	1498
Ng00543	49
Ng00544	19
Ng00545	174
Ng00546	1658
Ng00547	3873
Ng00548	3184
Ng00549	1285
Ng00550	246
Ng00551	256
Ng00552	340
Ng00553	1650
Ng00554	5090
Ng00555	2259
Ng00556	42
Ng00557	1762
Ng00558	3326
Ng00559	1877
Ng00560	3677
Ng00561	2463
Ng00562	3067
Ng00563	111
Ng00564	424
Ng00565	3256
Ng00566	1266
Ng00567	67428
Ng00568	9222
Ng00569	2577
Ng00570	2924
Ng00571	1106
Ng00572	1478
Ng00573	552
Ng00574	3479
Ng00575	1617
Ng00576	37
Ng00577	1
Ng00578	895
Ng00579	3369
Ng00580	4650
Ng00581	13761
Ng00582	1180
Ng00583	1450
Ng00584	120
Ng00585	10970
Ng00586	2096
Ng00587	358
Ng00588	3274
Ng00589	1232
Ng00590	1
Ng00591	459
Ng00592	1324
Ng00593	25
Ng00594	1661
Ng00595	700
Ng00596	857
Ng00597	301578
Ng00598	4497
Ng00599	2796
Ng00600	364
Ng00601	9296
Ng00602	701
Ng00603	636
Ng00604	7454
Ng00605	332
Ng00606	9968
Ng00607	3288
Ng00608	10
Ng00609	0
Ng00610	129
Ng00611	3893
Ng00612	1316
Ng00613	4639
Ng00614	133
Ng00615	6462
Ng00616	3213
Ng00617	6557
Ng00618	10
Ng00619	339
Ng00620	234
Ng00621	1626
Ng00622	1454
