	Reaction ID	Flux rate
0	R02434__chlo	0.0
1	T_L_Tyrosine_V2__mitmem	0.0
2	TR0011455_PLAS__ermem	0.0
3	R01652__cytop	0.0
4	R00243__mito	0.0
5	PKS_C204__cytop	0.0
6	EX_C00188__dra	-0.0
7	EX_C05839__dra	-0.0
8	R03362__cytop	0.0
9	R04537__cytop	0.0
10	R02731__cytop	0.0
11	TO1000117_PLAS__plas	0.0
12	R00010__cytop	0.0
13	R07396__chlo	0.0
14	R00848__mito	0.0
15	T_CoA___chlomem	0.0
16	R08174__cytop	0.0
17	TO1000157_PLAS__plas	0.0
18	TO1000060_PLAS__plas	0.0
19	R12205__chlo	0.0
20	R07084__cytop	0.0
21	R07109__cytop	0.0
22	R08183__mito	0.0
23	R01731__chlo	0.0
24	R04355__mito	0.0
25	T_UDPG__chlomem	0.0
26	R06610__cytop	0.0
27	R03479__nucl	0.0
28	EX_C00899__dra	-0.0
29	R00010__vacu	0.0
30	TO0000081_PLAS__ermem	0.0
31	TI3000142_PLAS__chlomem	0.0
32	R01626__chlo	0.0
33	EX_C00181__dra	-0.0
34	R10039__cytop	0.0
35	R08600__extr	0.0
36	R05050__cytop	0.0
37	R05616__cytop	0.0
38	R00177__cytop	0.0
39	R10035__chlo	0.0
40	R00188__cytop	0.0
41	EX_C01019__dra	-0.0
42	R03681__e_r_	0.0
43	R00502__cytop	0.0
44	R06267__chlo	0.0
45	R08190__pero	0.0
46	R04566__mito	0.0
47	R02250__cytop	0.0
48	R08163__cytop	0.0
49	R02480__chlo	0.0
50	R09540__mito	0.0
51	R01954__cytop	0.0
52	R07083__e_r_	0.0
53	T_7_Dehydrocholesterol__ermem	0.0
54	R06728__e_r_	0.0
55	R05553__cytop	0.0
56	R01218__cytop	0.0
57	R04716__cytop	0.0
58	R03530__cytop	0.0
59	R01039__cytop	0.0
60	T_Glycolate__chlomem	0.0
61	R09432__cytop	0.0
62	R00112__chlo	0.0
63	TZ2900041_PLAS__plas	0.0
64	R01229__cytop	0.0
65	T_AKGMALth__chlomem	0.0
66	R00351__pero	0.0
67	R06875__e_r_	0.0
68	T_L_Aspartate_V1__mitmem	0.0
69	R00573__cytop	0.0
70	R01641__cytop	0.0
71	R03458__chlo	0.0
72	R04224__chlo	0.0
73	R01220__mito	0.0
74	R06867__chlo	0.0
75	T_GLX__permem	0.0
76	R07024__chlo	0.0
77	R02887__cytop	0.0
78	R00139__cytop	0.0
79	R04463__cytop	0.0
80	R02107__cytop	0.0
81	R00897__cytop	0.0
82	R04955__mito	0.0
83	RXN_11887__e_r_	0.0
84	R04742__pero	0.0
85	R01274__pero	0.0
86	R07079__e_r_	0.0
87	R10056__nucl	0.0
88	R04430__cytop	0.0
89	R01216__mito	0.0
90	AMOBR__mito	0.0
91	R03664__cytop	0.0
92	R00344__mito	0.0
93	TO0000667_PLAS__plas	0.0
94	TO1000054_PLAS__plas	0.0
95	R00842__cytop	0.0
96	R01786__cytop	0.0
97	R01773__chlo	0.0
98	R02853__mito	0.0
99	R00372__cytop	0.0
100	T_Ammonia_V2__mitmem	0.0
101	R11921__cytop	0.0
102	R05637__chlo	0.0
103	R08344__e_r_	0.0
