Geneid	RNA STAR on data 4, data 5, and others: mapped.bam
Ng00001	0
Ng00002	0
Ng00003	0
Ng00004	3
Ng00005	0
Ng00006	1191
Ng00007	0
Ng00008	1899
Ng00009	563
Ng00010	7007
Ng00011	1140
Ng00012	514
Ng00013	66
Ng00014	986
Ng00015	4513
Ng00016	641
Ng00017	16
Ng00018	571
Ng00019	1117
Ng00020	78
Ng00021	1330
Ng00022	176
Ng00023	110
Ng00024	236
Ng00025	592
Ng00026	481
Ng00027	975
Ng00028	1162
Ng00029	160
Ng00030	111
Ng00031	443
Ng00032	343
Ng00033	2070
Ng00034	7160
Ng00035	1
Ng00036	529
Ng00037	264
Ng00038	1154
Ng00039	702
Ng00040	18
Ng00041	658
Ng00042	26
Ng00043	0
Ng00044	614
Ng00045	509
Ng00046	319
Ng00047	208
Ng00048	335
Ng00049	22630
Ng00050	5
Ng00051	2889
Ng00052	0
Ng00053	2
Ng00054	2654
Ng00055	2307
Ng00056	1904
Ng00057	534
Ng00058	62
Ng00059	5195
Ng00060	1021
Ng00061	877
Ng00062	450
Ng00063	2365
Ng00064	245
Ng00065	32
Ng00066	228
Ng00067	20
Ng00068	108
Ng00069	0
Ng00070	2
Ng00071	0
Ng00072	528
Ng00073	327
Ng00074	49
Ng00075	423
Ng00076	427
Ng00077	182
Ng00078	242
Ng00079	330
Ng00080	547
Ng00081	983
Ng00082	637
Ng00083	2229
Ng00084	1064
Ng00085	30
Ng00086	181
Ng00087	558
Ng00088	2687
Ng00089	0
Ng00090	153
Ng00091	32
Ng00092	1802
Ng00093	279
Ng00094	16
Ng00095	653
Ng00096	7
Ng00097	535
Ng00098	711
Ng00099	142
Ng00100	375
Ng00101	347
Ng00102	2543
Ng00103	740
Ng00104	1848
Ng00105	2558
Ng00106	466
Ng00107	441
Ng00108	582
Ng00109	741
Ng00110	693
Ng00111	113
Ng00112	122
Ng00113	321
Ng00114	2911
Ng00115	920
Ng00116	32
Ng00117	136
Ng00118	386
Ng00119	6496
Ng00120	0
Ng00121	1300
Ng00122	0
Ng00123	34
Ng00124	1640
Ng00125	663
Ng00126	1565
Ng00127	1081
Ng00128	1735
Ng00129	17
Ng00130	173
Ng00131	1134
Ng00132	703
Ng00133	3938
Ng00134	578
Ng00135	565
Ng00136	1350
Ng00137	464
Ng00138	999
Ng00139	833
Ng00140	1291
Ng00141	18
Ng00142	432
Ng00143	646
Ng00144	4045
Ng00145	1309
Ng00146	184
Ng00147	244
Ng00148	4618
Ng00149	724
Ng00150	528
Ng00151	566
Ng00152	0
Ng00153	1519
Ng00154	526
Ng00155	169
Ng00156	1426
Ng00157	76
Ng00158	90
Ng00159	7854
Ng00160	891
Ng00161	464
Ng00162	31
Ng00163	118
Ng00164	1180
Ng00165	380
Ng00166	6918
Ng00167	727
Ng00168	3174
Ng00169	2255
Ng00170	1463
Ng00171	0
Ng00172	9468
Ng00173	352
Ng00174	2807
Ng00175	358
Ng00176	263
Ng00177	646
Ng00178	7
Ng00179	794
Ng00180	2691
Ng00181	12743
Ng00182	3274
Ng00183	365
Ng00184	0
Ng00185	212
Ng00186	467
Ng00187	19010
Ng00188	756
Ng00189	533
Ng00190	38
Ng00191	947
Ng00192	296
Ng00193	123
Ng00194	478
Ng00195	0
Ng00196	98
Ng00197	308
Ng00198	247
Ng00199	1856
Ng00200	5164
Ng00201	144
Ng00202	506
Ng00203	1376
Ng00204	5288
Ng00205	2765
Ng00206	693
Ng00207	3019
Ng00208	4759
Ng00209	841
Ng00210	0
Ng00211	9
Ng00212	2443
Ng00213	514
Ng00214	735
Ng00215	146
Ng00216	599
Ng00217	1191
Ng00218	24
Ng00219	1831
Ng00220	306
Ng00221	378
Ng00222	2979
Ng00223	3747
Ng00224	4323
Ng00225	360
Ng00226	864
Ng00227	1243
Ng00228	744
Ng00229	1001
Ng00230	3036
Ng00231	122
Ng00232	708
Ng00233	298
Ng00234	4
Ng00235	207
Ng00236	0
Ng00237	811
Ng00238	74
Ng00239	112
Ng00240	3
Ng00241	635
Ng00242	1
Ng00243	5
Ng00244	2838
Ng00245	160
Ng00246	551
Ng00247	668
Ng00248	930
Ng00249	255
Ng00250	0
Ng00251	3999
Ng00252	2287
Ng00253	1470
Ng00254	394
Ng00255	1852
Ng00256	0
Ng00257	1409
Ng00258	366
Ng00259	310
Ng00260	1062
Ng00261	409
Ng00262	22
Ng00263	630
Ng00264	2544
Ng00265	0
Ng00266	2405
Ng00267	449
Ng00268	1071
Ng00269	4995
Ng00270	1121
Ng00271	182
Ng00272	97
Ng00273	192
Ng00274	1545
Ng00275	288
Ng00276	546
Ng00277	557
Ng00278	9692
Ng00279	981
Ng00280	600
Ng00281	173
Ng00282	436
Ng00283	728
Ng00284	441
Ng00285	872
Ng00286	1568
Ng00287	926
Ng00288	116
Ng00289	136
Ng00290	0
Ng00291	1454
Ng00292	742
Ng00293	11904
Ng00294	457
Ng00295	1242
Ng00296	721
Ng00297	1250
Ng00298	2563
Ng00299	483
Ng00300	299
Ng00301	15
Ng00302	269
Ng00303	625
Ng00304	883
Ng00305	270
Ng00306	908
Ng00307	785
Ng00308	3063
Ng00309	445
Ng00310	2502
Ng00311	1255
Ng00312	2147
Ng00313	344
Ng00314	655
Ng00315	987
Ng00316	0
Ng00317	34
Ng00318	1193
Ng00319	736
Ng00320	2417
Ng00321	0
Ng00322	1250
Ng00323	1360
Ng00324	14639
Ng00325	806
Ng00326	767
Ng00327	1980
Ng00328	1018
Ng00329	559
Ng00330	1082
Ng00331	6183
Ng00332	1459
Ng00333	1308
Ng00334	0
Ng00335	3283
Ng00336	903
Ng00337	14501
Ng00338	0
Ng00339	1511
Ng00340	829
Ng00341	410
Ng00342	655
Ng00343	1412
Ng00344	2101
Ng00345	3315
Ng00346	1016
Ng00347	5966
Ng00348	4250
Ng00349	1774
Ng00350	2932
Ng00351	5759
Ng00352	694
Ng00353	677
Ng00354	387
Ng00355	47
Ng00356	14975
Ng00357	4708
Ng00358	329
Ng00359	366
Ng00360	56
Ng00361	922
Ng00362	2661
Ng00363	603
Ng00364	242
Ng00365	4910
Ng00366	470
Ng00367	1599
Ng00368	2591
Ng00369	6300
Ng00370	488
Ng00371	675
Ng00372	1248
Ng00373	219
Ng00374	435
Ng00375	345
Ng00376	14
Ng00377	575
Ng00378	2272
Ng00379	1446
Ng00380	1283
Ng00381	800
Ng00382	710
Ng00383	751
Ng00384	0
Ng00385	0
Ng00386	1851
Ng00387	642
Ng00388	1483
Ng00389	1788
Ng00390	331
Ng00391	2696
Ng00392	542
Ng00393	0
Ng00394	2875
Ng00395	4489
Ng00396	2941
Ng00397	5700
Ng00398	7710
Ng00399	1145
Ng00400	1496
Ng00401	558
Ng00402	3105
Ng00403	261
Ng00404	12164
Ng00405	1346
Ng00406	457
Ng00407	5190
Ng00408	1445
Ng00409	386
Ng00410	433
Ng00411	65
Ng00412	353
Ng00413	14
Ng00414	66
Ng00415	167
Ng00416	100
Ng00417	322
Ng00418	588
Ng00419	214
Ng00420	778
Ng00421	2904
Ng00422	0
Ng00423	454
Ng00424	2102
Ng00425	211
Ng00426	799
Ng00427	427
Ng00428	175
Ng00429	12412
Ng00430	1348
Ng00431	0
Ng00432	17
Ng00433	123
Ng00434	706
Ng00435	2953
Ng00436	431
Ng00437	0
Ng00438	423
Ng00439	994
Ng00440	38
Ng00441	1085
Ng00442	148
Ng00443	606
Ng00444	2052
Ng00445	1784
Ng00446	44
Ng00447	158
Ng00448	666
Ng00449	882
Ng00450	825
Ng00451	1004
Ng00452	30
Ng00453	6
Ng00454	5616
Ng00455	1383
Ng00456	1236
Ng00457	6963
Ng00458	47
Ng00459	271
Ng00460	19641
Ng00461	127
Ng00462	312
Ng00463	386
Ng00464	5286
Ng00465	1443
Ng00466	1018
Ng00467	142
Ng00468	438
Ng00469	1423
Ng00470	326
Ng00471	0
Ng00472	0
Ng00473	775
Ng00474	9
Ng00475	1731
Ng00476	250
Ng00477	485
Ng00478	335
Ng00479	0
Ng00480	460
Ng00481	2628
Ng00482	1146
Ng00483	1966
Ng00484	297
Ng00485	0
Ng00486	490
Ng00487	880
Ng00488	837
Ng00489	1358
Ng00490	1
Ng00491	267
Ng00492	167
Ng00493	332
Ng00494	937
Ng00495	116
Ng00496	830
Ng00497	93
Ng00498	29
Ng00499	187
Ng00500	660
Ng00501	10751
Ng00502	1540
Ng00503	806
Ng00504	0
Ng00505	258
Ng00506	114
Ng00507	1010
Ng00508	533
Ng00509	1095
Ng00510	179
Ng00511	1681
Ng00512	1463
Ng00513	240
Ng00514	2865
Ng00515	662
Ng00516	580
Ng00517	2248
Ng00518	564
Ng00519	190
Ng00520	18655
Ng00521	55057
Ng00522	3421
Ng00523	335
Ng00524	4
Ng00525	242
Ng00526	368
Ng00527	172
Ng00528	136
Ng00529	3
Ng00530	47
Ng00531	33
Ng00532	83
Ng00533	1462
Ng00534	572
Ng00535	1457
Ng00536	617
Ng00537	1204
Ng00538	38
Ng00539	73
Ng00540	2143
Ng00541	24
Ng00542	1246
Ng00543	127
Ng00544	30
Ng00545	6347
Ng00546	3387
Ng00547	1307
Ng00548	791
Ng00549	347
Ng00550	43
Ng00551	57
Ng00552	20
Ng00553	235
Ng00554	408
Ng00555	1440
Ng00556	10
Ng00557	377
Ng00558	701
Ng00559	601
Ng00560	554
Ng00561	390
Ng00562	261
Ng00563	35
Ng00564	130
Ng00565	320
Ng00566	25
Ng00567	6254
Ng00568	3233
Ng00569	1069
Ng00570	604
Ng00571	312
Ng00572	610
Ng00573	20624
Ng00574	454
Ng00575	1671
Ng00576	3
Ng00577	0
Ng00578	299
Ng00579	225
Ng00580	769
Ng00581	975
Ng00582	408
Ng00583	405
Ng00584	25
Ng00585	1123
Ng00586	323
Ng00587	143
Ng00588	1072
Ng00589	120
Ng00590	4
Ng00591	103
Ng00592	795
Ng00593	21
Ng00594	371
Ng00595	621
Ng00596	238
Ng00597	41711
Ng00598	426
Ng00599	625
Ng00600	66
Ng00601	1347
Ng00602	395
Ng00603	246
Ng00604	793
Ng00605	132
Ng00606	1396
Ng00607	572
Ng00608	306
Ng00609	1
Ng00610	1770
Ng00611	974
Ng00612	960
Ng00613	1497
Ng00614	0
Ng00615	86
Ng00616	832
Ng00617	1250
Ng00618	655
Ng00619	502411
Ng00620	45901
Ng00621	579
Ng00622	124
Ng00623	10642
Ng00624	1349
Ng00625	0
Ng00626	602
Ng00627	108
Ng00628	2597
Ng00629	0
Ng00630	452
Ng00631	267
Ng00632	107
Ng00633	28
Ng00634	50
Ng00635	654
Ng00636	0
Ng00637	353
Ng00638	626
Ng00639	733
Ng00640	306
Ng00641	580
Ng00642	308
Ng00643	1159
Ng00644	2175
Ng00645	434
Ng00646	2
Ng00647	1177
Ng00648	963
