Geneid	RNA STAR on data 4, data 5, and others: mapped.bam
Ng00001	0
Ng00002	0
Ng00003	0
Ng00004	0
Ng00005	0
Ng00006	47
Ng00007	0
Ng00008	1880
Ng00009	1092
Ng00010	4543
Ng00011	1627
Ng00012	952
Ng00013	9
Ng00014	1832
Ng00015	6979
Ng00016	1443
Ng00017	49
Ng00018	1290
Ng00019	1748
Ng00020	44
Ng00021	2026
Ng00022	720
Ng00023	519
Ng00024	336
Ng00025	911
Ng00026	1032
Ng00027	745
Ng00028	1749
Ng00029	180
Ng00030	167
Ng00031	448
Ng00032	378
Ng00033	2247
Ng00034	10767
Ng00035	3
Ng00036	1291
Ng00037	1094
Ng00038	602
Ng00039	563
Ng00040	4
Ng00041	284
Ng00042	44
Ng00043	0
Ng00044	1691
Ng00045	1514
Ng00046	762
Ng00047	309
Ng00048	398
Ng00049	26834
Ng00050	6
Ng00051	3304
Ng00052	0
Ng00053	3
Ng00054	2127
Ng00055	2360
Ng00056	1991
Ng00057	643
Ng00058	65
Ng00059	4943
Ng00060	1302
Ng00061	1436
Ng00062	1134
Ng00063	5391
Ng00064	46
Ng00065	4
Ng00066	793
Ng00067	38
Ng00068	176
Ng00069	0
Ng00070	20
Ng00071	0
Ng00072	1467
Ng00073	593
Ng00074	166
Ng00075	598
Ng00076	420
Ng00077	348
Ng00078	86
Ng00079	424
Ng00080	628
Ng00081	1967
Ng00082	649
Ng00083	2088
Ng00084	1726
Ng00085	101
Ng00086	1012
Ng00087	1216
Ng00088	4878
Ng00089	0
Ng00090	697
Ng00091	23
Ng00092	3372
Ng00093	331
Ng00094	22
Ng00095	2110
Ng00096	20
Ng00097	565
Ng00098	1206
Ng00099	314
Ng00100	1398
Ng00101	1246
Ng00102	7495
Ng00103	1301
Ng00104	3169
Ng00105	1047
Ng00106	1084
Ng00107	725
Ng00108	1634
Ng00109	604
Ng00110	638
Ng00111	518
Ng00112	671
Ng00113	648
Ng00114	2592
Ng00115	1530
Ng00116	73
Ng00117	125
Ng00118	717
Ng00119	12067
Ng00120	1
Ng00121	1399
Ng00122	0
Ng00123	101
Ng00124	1782
Ng00125	1881
Ng00126	2424
Ng00127	1484
Ng00128	1517
Ng00129	16
Ng00130	142
Ng00131	1574
Ng00132	863
Ng00133	1539
Ng00134	640
Ng00135	2055
Ng00136	2293
Ng00137	920
Ng00138	2111
Ng00139	1134
Ng00140	1642
Ng00141	14
Ng00142	443
Ng00143	356
Ng00144	1923
Ng00145	1433
Ng00146	666
Ng00147	179
Ng00148	7392
Ng00149	1908
Ng00150	1749
Ng00151	1031
Ng00152	0
Ng00153	2977
Ng00154	1475
Ng00155	258
Ng00156	1609
Ng00157	67
Ng00158	62
Ng00159	25694
Ng00160	1070
Ng00161	1016
Ng00162	47
Ng00163	108
Ng00164	1656
Ng00165	865
Ng00166	6396
Ng00167	2374
Ng00168	1684
Ng00169	1917
Ng00170	1172
Ng00171	0
Ng00172	5997
Ng00173	969
Ng00174	7219
Ng00175	883
Ng00176	624
Ng00177	1099
Ng00178	4
Ng00179	902
Ng00180	1479
Ng00181	4606
Ng00182	3754
Ng00183	659
Ng00184	0
Ng00185	553
Ng00186	754
Ng00187	1764
Ng00188	935
Ng00189	885
Ng00190	117
Ng00191	1032
Ng00192	515
Ng00193	177
Ng00194	969
Ng00195	0
Ng00196	330
Ng00197	394
Ng00198	604
Ng00199	1342
Ng00200	4380
Ng00201	408
Ng00202	3663
Ng00203	1407
Ng00204	4112
Ng00205	2688
Ng00206	1112
Ng00207	4453
Ng00208	3508
Ng00209	686
Ng00210	0
Ng00211	6
Ng00212	4429
Ng00213	1514
Ng00214	854
Ng00215	732
Ng00216	1226
Ng00217	2209
Ng00218	89
Ng00219	3620
Ng00220	310
Ng00221	578
Ng00222	6379
Ng00223	6349
Ng00224	790
Ng00225	508
Ng00226	1079
Ng00227	1293
Ng00228	1444
Ng00229	1235
Ng00230	3864
Ng00231	138
Ng00232	1394
Ng00233	610
Ng00234	10
Ng00235	522
Ng00236	0
Ng00237	1581
Ng00238	218
Ng00239	116
Ng00240	2
Ng00241	769
Ng00242	2
Ng00243	14
Ng00244	3526
Ng00245	389
Ng00246	1201
Ng00247	901
Ng00248	934
Ng00249	579
Ng00250	0
Ng00251	2883
Ng00252	2441
Ng00253	1594
Ng00254	636
Ng00255	3155
Ng00256	0
Ng00257	1389
Ng00258	716
Ng00259	840
Ng00260	2259
Ng00261	708
Ng00262	52
Ng00263	828
Ng00264	589
Ng00265	0
Ng00266	626
Ng00267	757
Ng00268	2939
Ng00269	1839
Ng00270	1888
Ng00271	394
Ng00272	165
Ng00273	250
Ng00274	2070
Ng00275	475
Ng00276	470
Ng00277	1186
Ng00278	13738
Ng00279	3512
Ng00280	1326
Ng00281	327
Ng00282	862
Ng00283	1404
Ng00284	1045
Ng00285	2217
Ng00286	1142
Ng00287	1838
Ng00288	297
Ng00289	217
Ng00290	0
Ng00291	4089
Ng00292	1718
Ng00293	14184
Ng00294	634
Ng00295	1864
Ng00296	1205
Ng00297	2975
Ng00298	1584
Ng00299	533
Ng00300	587
Ng00301	47
Ng00302	841
Ng00303	579
Ng00304	1814
Ng00305	1096
Ng00306	1842
Ng00307	2774
Ng00308	6599
Ng00309	760
Ng00310	2671
Ng00311	1396
Ng00312	3265
Ng00313	837
Ng00314	2384
Ng00315	1727
Ng00316	0
Ng00317	30
Ng00318	1530
Ng00319	874
Ng00320	5103
Ng00321	0
Ng00322	1092
Ng00323	1859
Ng00324	28278
Ng00325	1133
Ng00326	1693
Ng00327	3570
Ng00328	1743
Ng00329	709
Ng00330	1272
Ng00331	1872
Ng00332	407
Ng00333	2322
Ng00334	0
Ng00335	3595
Ng00336	331
Ng00337	20690
Ng00338	0
Ng00339	1231
Ng00340	713
Ng00341	1111
Ng00342	1319
Ng00343	1498
Ng00344	2154
Ng00345	2760
Ng00346	2200
Ng00347	2401
Ng00348	2406
Ng00349	2757
Ng00350	3981
Ng00351	14751
Ng00352	773
Ng00353	1179
Ng00354	2140
Ng00355	177
Ng00356	12313
Ng00357	7541
Ng00358	704
Ng00359	655
Ng00360	955
Ng00361	1315
Ng00362	1504
Ng00363	417
Ng00364	339
Ng00365	6580
Ng00366	970
Ng00367	2831
Ng00368	1575
Ng00369	5863
Ng00370	459
Ng00371	710
Ng00372	2287
Ng00373	149
Ng00374	838
Ng00375	252
Ng00376	50
Ng00377	423
Ng00378	1526
Ng00379	1489
Ng00380	1119
Ng00381	1966
Ng00382	717
Ng00383	1349
Ng00384	0
Ng00385	0
Ng00386	1659
Ng00387	798
Ng00388	2572
Ng00389	630
Ng00390	93
Ng00391	836
Ng00392	1475
Ng00393	0
Ng00394	5054
Ng00395	1291
Ng00396	728
Ng00397	7193
Ng00398	9265
Ng00399	1086
Ng00400	1930
Ng00401	675
Ng00402	7409
Ng00403	571
Ng00404	20820
Ng00405	1758
Ng00406	601
Ng00407	3007
Ng00408	3413
Ng00409	718
Ng00410	614
Ng00411	222
Ng00412	730
Ng00413	45
Ng00414	132
Ng00415	529
Ng00416	453
Ng00417	859
Ng00418	638
Ng00419	222
Ng00420	607
Ng00421	3111
Ng00422	0
Ng00423	822
Ng00424	1631
Ng00425	141
Ng00426	971
Ng00427	781
Ng00428	199
Ng00429	10983
Ng00430	1019
Ng00431	5
Ng00432	106
Ng00433	370
Ng00434	831
Ng00435	1389
Ng00436	1209
Ng00437	0
Ng00438	610
Ng00439	905
Ng00440	90
Ng00441	1230
Ng00442	551
Ng00443	911
Ng00444	718
Ng00445	1117
Ng00446	114
Ng00447	206
Ng00448	1751
Ng00449	604
Ng00450	120
Ng00451	2807
Ng00452	88
Ng00453	12
Ng00454	1773
Ng00455	1415
Ng00456	2805
Ng00457	3179
Ng00458	40
Ng00459	274
Ng00460	36631
Ng00461	150
Ng00462	262
Ng00463	726
Ng00464	2830
Ng00465	1274
Ng00466	760
Ng00467	337
Ng00468	778
Ng00469	9250
Ng00470	726
Ng00471	0
Ng00472	0
Ng00473	1855
Ng00474	0
Ng00475	3349
Ng00476	103
Ng00477	1082
Ng00478	495
Ng00479	0
Ng00480	1285
Ng00481	4947
Ng00482	919
Ng00483	2077
Ng00484	631
Ng00485	0
Ng00486	719
Ng00487	422
Ng00488	3270
Ng00489	2522
Ng00490	1
Ng00491	861
Ng00492	746
Ng00493	562
Ng00494	1002
Ng00495	500
Ng00496	1001
Ng00497	112
Ng00498	24
Ng00499	268
Ng00500	1624
Ng00501	4895
Ng00502	1250
Ng00503	940
Ng00504	0
Ng00505	636
Ng00506	331
Ng00507	1737
Ng00508	460
Ng00509	1874
Ng00510	762
Ng00511	1671
Ng00512	2672
Ng00513	296
Ng00514	2121
Ng00515	441
Ng00516	1495
Ng00517	1756
Ng00518	375
Ng00519	102
Ng00520	12392
Ng00521	67043
Ng00522	10080
Ng00523	1116
Ng00524	3
Ng00525	418
Ng00526	1395
Ng00527	277
Ng00528	969
Ng00529	0
Ng00530	128
Ng00531	164
Ng00532	263
Ng00533	2084
Ng00534	1087
Ng00535	2260
Ng00536	1147
Ng00537	674
Ng00538	20
Ng00539	43
Ng00540	745
Ng00541	12
Ng00542	1984
Ng00543	376
Ng00544	94
Ng00545	2043
Ng00546	2884
Ng00547	4825
Ng00548	1531
Ng00549	461
Ng00550	60
Ng00551	146
Ng00552	63
Ng00553	484
Ng00554	1133
Ng00555	931
Ng00556	0
Ng00557	785
Ng00558	1005
Ng00559	747
Ng00560	734
Ng00561	959
Ng00562	565
Ng00563	59
Ng00564	329
Ng00565	1205
Ng00566	39
Ng00567	3368
Ng00568	5039
Ng00569	1604
Ng00570	1122
Ng00571	562
Ng00572	305
Ng00573	6261
Ng00574	1194
Ng00575	1109
Ng00576	16
Ng00577	2
Ng00578	422
Ng00579	382
Ng00580	1241
Ng00581	3148
Ng00582	1195
Ng00583	990
Ng00584	168
Ng00585	1316
Ng00586	1451
Ng00587	292
Ng00588	2848
Ng00589	264
Ng00590	4
Ng00591	214
Ng00592	487
Ng00593	2
Ng00594	766
Ng00595	1272
Ng00596	479
Ng00597	4129
Ng00598	2299
Ng00599	1373
Ng00600	32
Ng00601	1595
Ng00602	461
Ng00603	299
Ng00604	1308
Ng00605	180
Ng00606	3249
Ng00607	990
Ng00608	217
Ng00609	0
Ng00610	164
Ng00611	2287
Ng00612	1215
Ng00613	1500
Ng00614	0
Ng00615	442
Ng00616	590
Ng00617	1444
Ng00618	29
Ng00619	119644
Ng00620	6277
Ng00621	1199
Ng00622	526
Ng00623	8187
Ng00624	665
Ng00625	0
Ng00626	935
Ng00627	380
Ng00628	2182
Ng00629	1
Ng00630	1064
Ng00631	895
Ng00632	136
Ng00633	32
Ng00634	59
Ng00635	1347
Ng00636	0
Ng00637	953
