Geneid	RNA STAR on data 4, data 5, and others: mapped.bam
Ng00001	0
Ng00002	0
Ng00003	0
Ng00004	5
Ng00005	0
Ng00006	713
Ng00007	0
Ng00008	2048
Ng00009	557
Ng00010	6199
Ng00011	1539
Ng00012	668
Ng00013	468
Ng00014	1104
Ng00015	7751
Ng00016	803
Ng00017	64
Ng00018	617
Ng00019	1446
Ng00020	41
Ng00021	1810
Ng00022	124
Ng00023	63
Ng00024	260
Ng00025	547
Ng00026	649
Ng00027	1141
Ng00028	1263
Ng00029	191
Ng00030	49
Ng00031	531
Ng00032	239
Ng00033	1615
Ng00034	8897
Ng00035	3
Ng00036	623
Ng00037	264
Ng00038	1124
Ng00039	492
Ng00040	56
Ng00041	483
Ng00042	18
Ng00043	0
Ng00044	623
Ng00045	584
Ng00046	475
Ng00047	254
Ng00048	361
Ng00049	23378
Ng00050	10
Ng00051	1610
Ng00052	0
Ng00053	4
Ng00054	3567
Ng00055	2042
Ng00056	1467
Ng00057	344
Ng00058	112
Ng00059	5241
Ng00060	1582
Ng00061	1656
Ng00062	407
Ng00063	1895
Ng00064	239
Ng00065	21
Ng00066	484
Ng00067	59
Ng00068	99
Ng00069	0
Ng00070	11
Ng00071	0
Ng00072	678
Ng00073	590
Ng00074	63
Ng00075	590
Ng00076	682
Ng00077	237
Ng00078	1009
Ng00079	431
Ng00080	665
Ng00081	1532
Ng00082	462
Ng00083	1937
Ng00084	954
Ng00085	22
Ng00086	218
Ng00087	638
Ng00088	4340
Ng00089	0
Ng00090	218
Ng00091	32
Ng00092	1620
Ng00093	303
Ng00094	8
Ng00095	552
Ng00096	9
Ng00097	810
Ng00098	1008
Ng00099	252
Ng00100	440
Ng00101	368
Ng00102	2548
Ng00103	989
Ng00104	1646
Ng00105	3110
Ng00106	514
Ng00107	1167
Ng00108	526
Ng00109	702
Ng00110	494
Ng00111	79
Ng00112	192
Ng00113	394
Ng00114	1733
Ng00115	1109
Ng00116	92
Ng00117	181
Ng00118	402
Ng00119	5551
Ng00120	3
Ng00121	1315
Ng00122	0
Ng00123	20
Ng00124	2198
Ng00125	857
Ng00126	2364
Ng00127	1536
Ng00128	2722
Ng00129	39
Ng00130	195
Ng00131	1564
Ng00132	858
Ng00133	4617
Ng00134	472
Ng00135	718
Ng00136	1815
Ng00137	886
Ng00138	1256
Ng00139	1593
Ng00140	1932
Ng00141	80
Ng00142	431
Ng00143	739
Ng00144	3167
Ng00145	2042
Ng00146	186
Ng00147	178
Ng00148	4925
Ng00149	861
Ng00150	1385
Ng00151	997
Ng00152	0
Ng00153	1815
Ng00154	743
Ng00155	176
Ng00156	2154
Ng00157	195
Ng00158	72
Ng00159	17559
Ng00160	736
Ng00161	402
Ng00162	55
Ng00163	176
Ng00164	1463
Ng00165	480
Ng00166	9645
Ng00167	1250
Ng00168	4874
Ng00169	2611
Ng00170	1276
Ng00171	0
Ng00172	9020
Ng00173	483
Ng00174	7381
Ng00175	773
Ng00176	326
Ng00177	569
Ng00178	8
Ng00179	766
Ng00180	2428
Ng00181	14371
Ng00182	4543
Ng00183	503
Ng00184	0
Ng00185	201
Ng00186	593
Ng00187	28823
Ng00188	848
Ng00189	819
Ng00190	84
Ng00191	856
Ng00192	363
Ng00193	347
Ng00194	649
Ng00195	0
Ng00196	175
Ng00197	433
Ng00198	198
Ng00199	1513
Ng00200	5219
Ng00201	115
Ng00202	600
Ng00203	1705
Ng00204	7963
Ng00205	1691
Ng00206	863
Ng00207	4124
Ng00208	5187
Ng00209	736
Ng00210	0
Ng00211	8
Ng00212	2019
Ng00213	570
Ng00214	817
Ng00215	210
Ng00216	965
Ng00217	1452
Ng00218	38
Ng00219	3096
Ng00220	436
Ng00221	526
Ng00222	3590
Ng00223	9806
Ng00224	9457
Ng00225	570
Ng00226	1837
Ng00227	1706
Ng00228	835
Ng00229	957
Ng00230	3520
Ng00231	140
Ng00232	782
Ng00233	279
Ng00234	17
Ng00235	294
Ng00236	0
Ng00237	1018
Ng00238	52
Ng00239	129
Ng00240	0
Ng00241	559
Ng00242	1
Ng00243	7
Ng00244	2526
Ng00245	261
Ng00246	1067
Ng00247	744
Ng00248	968
Ng00249	275
Ng00250	0
Ng00251	5663
Ng00252	2074
Ng00253	1443
Ng00254	540
Ng00255	1971
Ng00256	1
Ng00257	1579
Ng00258	389
Ng00259	327
Ng00260	1572
Ng00261	585
Ng00262	31
Ng00263	884
Ng00264	2667
Ng00265	0
Ng00266	2288
Ng00267	538
Ng00268	1304
Ng00269	6557
Ng00270	1017
Ng00271	219
Ng00272	64
Ng00273	217
Ng00274	2208
Ng00275	388
Ng00276	1550
Ng00277	668
Ng00278	11547
Ng00279	998
Ng00280	678
Ng00281	276
Ng00282	489
Ng00283	619
Ng00284	394
Ng00285	1605
Ng00286	1997
Ng00287	1626
Ng00288	226
Ng00289	134
Ng00290	2
Ng00291	1945
Ng00292	772
Ng00293	9893
Ng00294	411
Ng00295	1815
Ng00296	623
Ng00297	1376
Ng00298	3066
Ng00299	1049
Ng00300	392
Ng00301	49
Ng00302	412
Ng00303	656
Ng00304	812
Ng00305	294
Ng00306	1145
Ng00307	1564
Ng00308	3298
Ng00309	531
Ng00310	2529
Ng00311	1109
Ng00312	1441
Ng00313	386
Ng00314	635
Ng00315	872
Ng00316	0
Ng00317	49
Ng00318	1248
Ng00319	1345
Ng00320	3084
Ng00321	0
Ng00322	859
Ng00323	1541
Ng00324	17113
Ng00325	1415
Ng00326	2343
Ng00327	2967
Ng00328	2311
Ng00329	788
Ng00330	1757
Ng00331	8417
Ng00332	2447
Ng00333	1695
Ng00334	0
Ng00335	4007
Ng00336	2594
Ng00337	16736
Ng00338	0
Ng00339	1719
Ng00340	1157
Ng00341	742
Ng00342	676
Ng00343	2933
Ng00344	3487
Ng00345	5480
Ng00346	1905
Ng00347	7260
Ng00348	6741
Ng00349	3460
Ng00350	4558
Ng00351	8949
Ng00352	988
Ng00353	1160
Ng00354	1053
Ng00355	116
Ng00356	18826
Ng00357	8199
Ng00358	360
Ng00359	894
Ng00360	160
Ng00361	1157
Ng00362	4166
Ng00363	1094
Ng00364	503
Ng00365	7807
Ng00366	804
Ng00367	2689
Ng00368	2032
Ng00369	9819
Ng00370	300
Ng00371	730
Ng00372	1314
Ng00373	414
Ng00374	573
Ng00375	998
Ng00376	14
Ng00377	621
Ng00378	3594
Ng00379	2607
Ng00380	1407
Ng00381	1182
Ng00382	1068
Ng00383	838
Ng00384	0
Ng00385	0
Ng00386	1597
Ng00387	843
Ng00388	2099
Ng00389	2311
Ng00390	708
Ng00391	3174
Ng00392	599
Ng00393	0
Ng00394	3053
Ng00395	3499
Ng00396	3205
Ng00397	6132
Ng00398	7625
Ng00399	1750
Ng00400	1440
Ng00401	485
Ng00402	5931
Ng00403	196
Ng00404	16011
Ng00405	1340
Ng00406	313
Ng00407	5499
Ng00408	1872
Ng00409	492
Ng00410	505
Ng00411	94
Ng00412	558
Ng00413	30
Ng00414	129
Ng00415	181
Ng00416	70
Ng00417	483
Ng00418	1310
Ng00419	344
Ng00420	1572
Ng00421	2473
Ng00422	0
Ng00423	753
Ng00424	3834
Ng00425	373
Ng00426	1194
Ng00427	408
Ng00428	364
Ng00429	14843
Ng00430	1534
Ng00431	3
Ng00432	71
Ng00433	138
Ng00434	793
Ng00435	2995
Ng00436	695
Ng00437	0
Ng00438	422
Ng00439	847
Ng00440	61
Ng00441	1618
Ng00442	162
Ng00443	967
Ng00444	1863
Ng00445	1619
Ng00446	57
Ng00447	218
Ng00448	1073
Ng00449	2042
Ng00450	976
Ng00451	857
Ng00452	38
Ng00453	10
Ng00454	4737
Ng00455	1163
Ng00456	1405
Ng00457	9407
Ng00458	99
Ng00459	206
Ng00460	14122
Ng00461	41
Ng00462	250
Ng00463	311
Ng00464	4788
Ng00465	942
Ng00466	1112
Ng00467	155
Ng00468	844
Ng00469	1264
Ng00470	332
Ng00471	0
Ng00472	0
Ng00473	758
Ng00474	14
Ng00475	1518
Ng00476	292
Ng00477	437
Ng00478	614
Ng00479	0
Ng00480	478
Ng00481	3311
Ng00482	2196
Ng00483	1746
Ng00484	348
Ng00485	0
Ng00486	515
Ng00487	1005
Ng00488	791
Ng00489	2137
Ng00490	2
Ng00491	399
Ng00492	203
Ng00493	393
Ng00494	1046
Ng00495	186
Ng00496	1150
Ng00497	200
Ng00498	33
Ng00499	182
Ng00500	885
Ng00501	7711
Ng00502	1368
Ng00503	817
Ng00504	0
Ng00505	241
Ng00506	134
Ng00507	1997
Ng00508	611
Ng00509	1575
Ng00510	209
Ng00511	4002
Ng00512	1103
Ng00513	305
Ng00514	2345
Ng00515	914
Ng00516	634
Ng00517	2036
Ng00518	534
Ng00519	305
Ng00520	21087
Ng00521	60624
Ng00522	5472
Ng00523	645
Ng00524	14
Ng00525	243
Ng00526	374
Ng00527	210
Ng00528	195
Ng00529	4
Ng00530	77
Ng00531	46
Ng00532	140
Ng00533	1304
Ng00534	493
Ng00535	1329
Ng00536	642
Ng00537	1053
Ng00538	56
Ng00539	122
Ng00540	2861
Ng00541	8
Ng00542	1328
Ng00543	131
Ng00544	28
Ng00545	4674
Ng00546	2545
Ng00547	1511
Ng00548	1117
Ng00549	432
Ng00550	17
Ng00551	110
Ng00552	15
Ng00553	326
Ng00554	415
Ng00555	1426
Ng00556	35
Ng00557	539
Ng00558	1028
Ng00559	1192
Ng00560	490
Ng00561	334
Ng00562	214
Ng00563	35
Ng00564	137
Ng00565	347
Ng00566	59
Ng00567	5528
Ng00568	3312
Ng00569	1381
Ng00570	1093
Ng00571	372
Ng00572	617
Ng00573	15038
Ng00574	460
Ng00575	1791
Ng00576	8
Ng00577	0
Ng00578	321
Ng00579	324
Ng00580	1980
Ng00581	1787
Ng00582	585
Ng00583	992
Ng00584	58
Ng00585	1220
Ng00586	378
Ng00587	273
Ng00588	784
Ng00589	130
Ng00590	2
Ng00591	130
Ng00592	881
Ng00593	13
Ng00594	432
Ng00595	833
Ng00596	329
Ng00597	76169
Ng00598	386
Ng00599	807
Ng00600	267
Ng00601	1991
Ng00602	1223
Ng00603	440
Ng00604	713
Ng00605	300
Ng00606	2035
Ng00607	468
Ng00608	481
Ng00609	0
Ng00610	1825
Ng00611	1292
Ng00612	642
Ng00613	1161
Ng00614	0
Ng00615	42
Ng00616	1138
Ng00617	1249
Ng00618	459
Ng00619	571622
Ng00620	63006
Ng00621	987
Ng00622	89
Ng00623	8207
Ng00624	1373
Ng00625	6
Ng00626	479
Ng00627	207
Ng00628	2594
Ng00629	0
Ng00630	467
Ng00631	310
Ng00632	138
Ng00633	39
Ng00634	225
Ng00635	739
Ng00636	0
Ng00637	448
Ng00638	600
Ng00639	765
Ng00640	364
Ng00641	471
Ng00642	358
Ng00643	1138
