,minimum,maximum
R02434__chlo,0.0,0.0
T_L_Tyrosine_V2__mitmem,-0.00189292729073494,5.085241578258425e-07
TR0011455_PLAS__ermem,0.0,0.0
R01652__cytop,0.0,0.0022305200990640098
R00243__mito,-0.0261070892501525,-0.026107089250126482
PKS_C204__cytop,0.0,1.2031789171366506e-15
EX_C00188__dra,0.0,1.0407497633232494e-14
EX_C05839__dra,0.0,0.0
R03362__cytop,0.0,4.955951253919836e-15
R04537__cytop,0.0,1.4867853761759854e-15
R02731__cytop,0.0,4.955951253919842e-15
TO1000117_PLAS__plas,0.0,0.0
R00010__cytop,0.0,1.9823805015679273e-15
R07396__chlo,0.0,0.0
R00848__mito,0.013687895787622655,0.0136878957876422
T_CoA___chlomem,-2.422841343093962e-15,5.180673611438857e-16
R08174__cytop,0.0,3.5279652994004603e-15
TO1000157_PLAS__plas,0.0,4.955951253919856e-15
TO1000060_PLAS__plas,-1.115001309346604e-15,0.0
R12205__chlo,0.0,0.0
R07084__cytop,0.0,8.857444794239739e-16
R07109__cytop,0.0,0.0
R08183__mito,0.0,0.0
R01731__chlo,0.0,0.001271840065599078
R04355__mito,0.0,0.0
T_UDPG__chlomem,-0.0075197047183302645,-0.0075197047182891785
R06610__cytop,0.0,0.0
R03479__nucl,0.0,0.0
EX_C00899__dra,0.0,0.0
R00010__vacu,0.0,0.0
TO0000081_PLAS__ermem,0.0,0.0
TI3000142_PLAS__chlomem,7.121441780292834e-07,7.121441790725313e-07
R01626__chlo,0.07355462586251697,0.07355462586251392
EX_C00181__dra,-5.0175056837121425e-15,0.0
R10039__cytop,0.0,0.0
R08600__extr,0.0,0.0
R05050__cytop,0.0,0.0
R05616__cytop,-2.230003839361929e-15,0.0
R00177__cytop,0.0017165076560759708,0.001716507656073754
R10035__chlo,0.0,0.0
R00188__cytop,0.0009280364719147126,0.0009280364719139013
EX_C01019__dra,0.0,0.0
R03681__e_r_,0.0,0.0
R00502__cytop,0.0,0.0
R06267__chlo,0.000979938488712588,0.000979938488712578
R08190__pero,0.0,0.0
R04566__mito,0.0,0.0
R02250__cytop,0.0,0.0
R08163__cytop,0.0,-1.4114072130956485e-15
R02480__chlo,0.0,0.0
R09540__mito,0.0,0.0
R01954__cytop,0.0016536119915269163,0.0016536119915256564
R07083__e_r_,0.0,0.0
T_7_Dehydrocholesterol__ermem,0.0,-7.452975382683017e-16
R06728__e_r_,0.0,0.0
R05553__cytop,1.9129490930516428e-06,1.912949092621839e-06
R01218__cytop,0.0,-1.1291257704765019e-14
R04716__cytop,0.0,-1.866323587564467e-15
R03530__cytop,0.0,0.0
R01039__cytop,0.0,-6.272920947091754e-15
T_Glycolate__chlomem,0.0014450184289957965,0.0014450184290387825
R09432__cytop,0.0,0.0
R00112__chlo,0.0,0.0181831116383855
TZ2900041_PLAS__plas,-9.651988131147912e-17,0.0
R01229__cytop,0.0,-1.075357876644283e-14
T_AKGMALth__chlomem,0.009500245627950493,0.0095002456279485
R00351__pero,0.0,0.0
R06875__e_r_,0.0,0.0
T_L_Aspartate_V1__mitmem,-0.0158325184008086,-0.015832518400819888
R00573__cytop,0.0,-5.37678938322143e-15
R01641__cytop,0.0134938657257613,0.013495642168158154
R03458__chlo,2.6874610694455853e-06,2.6874610694930564e-06
R04224__chlo,0.0,0.0
R01220__mito,0.0,0.0
R06867__chlo,6.636062049793738e-05,6.63606204979366e-05
T_GLX__permem,0.0,0.0
R07024__chlo,0.0,0.0
R02887__cytop,0.0,0.0
R00139__cytop,0.0,0.0
R04463__cytop,0.0065185904391109484,0.006518590439110863
R02107__cytop,0.0,-5.60360183859306e-16
R00897__cytop,0.006210310099554487,0.006210310099365735
R04955__mito,0.0,0.0
RXN_11887__e_r_,0.0,-7.743650694889016e-16
R04742__pero,3.258305432702448e-15,0.0
R01274__pero,0.0,0.0
R07079__e_r_,0.0,0.0
R10056__nucl,0.0,0.0
R04430__cytop,0.0,-1.398696906764379e-15
R01216__mito,0.007126943065374956,0.007126943065182724
AMOBR__mito,1.7970196422566908e-06,1.7970196422566705e-06
R03664__cytop,0.00029167547941016833,0.000291675479410165
R00344__mito,0.0,0.047550033723663
TO0000667_PLAS__plas,0.0,0.0
TO1000054_PLAS__plas,6.80753099332394e-14,0.0
R00842__cytop,-0.0011317667591380267,-0.00113176675914588
R01786__cytop,0.0,-4.262695334900913e-15
R01773__chlo,0.0,0.0016346546416133856
R02853__mito,0.0,0.0
R00372__cytop,-0.018631903178093486,-0.0007098183538616282
T_Ammonia_V2__mitmem,0.015830212729457508,0.01772364854428137
R11921__cytop,0.0,0.0
R05637__chlo,0.005570448825700206,0.0055704488256994806
R08344__e_r_,0.0,0.0
R05616__mito,0.0,0.0
R09465__cytop,0.0,0.0
R10288__chlo,0.0,0.0
R05640__e_r_,0.0,0.0
R00475__pero,0.0,0.0
R02558__cytop,0.0,0.0
R01752__mito,0.0,0.0
EX_C00777__dra,0.0,0.0
R04749__mito,0.0,0.0
R04208__mito,0.0,0.0
R01361__cytop,0.0,0.0
R08174__mito,0.0,0.03697418787887767
R04198__chlo,0.0,0.000998008879571569
R01372__cytop,0.0,0.0
T_OOA__permem,5.846959135370912e-15,1.9162219977358116e-32
R04964__mito,0.0,0.0
TO0000304_PLAS__plas,0.0,0.0
R04798__chlo,0.0,0.00020510728580109237
R03161__cytop,0.0,0.0
R10992__cytop,0.0,0.0
R03313__cytop,0.0014160265541087816,0.0014160265541085903
R00995__mito,0.0,0.0
R00513__cytop,0.0,-1.912072655591553e-16
TO1000053_PLAS__plas,0.0,0.0
R02530__chlo,0.0,0.0
R07100__e_r_,0.0,0.0
T_AMETtn__nucmem,0.0,0.0
R07364__cytop,9.245763262969689e-05,9.245763262969685e-05
R00307__cytop,-0.00954075209956325,0.00954075209956325
T_PNC_V1__permem,1.3413854174039019e-15,8.33808297712789e-34
R00927__cytop,0.0,0.0
R10280__mito,0.0,0.00627905748482687
R04967__chlo,0.0,0.009785300664116845
R07215__e_r_,0.0,-2.7787907105482907e-17
R10764__cytop,0.0,0.0
T_Oxygen_V4__permem,0.2222903864631444,0.29857700167335416
R00658__chlo,0.1524862453691522,0.15867233854350185
R10170__mito,0.0,0.0
R08179__mito,0.0,0.0
EX_e_Biomass__dra,0.00996959579615362,0.009969595796153616
R04744__mito,0.0,0.0
R08258__extr,0.0,0.0
R05800__cytop,0.0,0.0
R00155__cytop,0.0,-1.9120726555915563e-16
R00548__chlo,0.0,0.01125372807989896
EX_C00267__dra,0.0,0.0
R11099__cytop,0.0,5.211799489651471e-16
RXN_11878__e_r_,1.2606113596741448e-15,7.57424147284992e-17
R00513__nucl,0.0,0.0
R04691__cytop,0.0,0.0
R01799__mito,0.0,0.0
R02565__mito,0.0,0.0
R04969__mito,0.0,0.0
R00390__mito,0.0,0.0
PRISM_fluorescent_cool_215W__extr,0.0,1.0
R07046__e_r_,0.0,0.0
R04533__mito,0.0,0.0
R04756__chlo,0.0,0.0
R02251__chlo,0.0,0.0
T_Hydrogen_V1__chlomem,0.9227115612618445,1.0
R10124__mito,1.7970196422566906e-06,1.7970196422566927e-06
R02404__mito,0.0,0.0
R02581__chlo,0.0,0.0
TO1100073_PLAS__plas,0.0,0.0
R04559__cytop,0.00651755817719502,0.00651755817719274
R08539__cytop,0.0,0.0
EX_C14818__dra,-7.121441790729423e-07,-7.121441790729839e-07
T_MALOAAth__chlomem,0.0,2.7361947320673074e-15
R05506__mito,0.0,0.0
R07136__cytop,0.0,0.0
R03393__e_r_,0.0,0.0
TO0000021_PLAS__plas,7.121441790729839e-07,7.121441806365238e-07
R10245__cytop,0.0,0.0
TO1000227_PLAS__plas,0.0,9.949799025698235e-16
R02691__chlo,0.00027652966947665187,0.00027652966947665214
R03183__cytop,0.0,0.0
R01209__chlo,0.0014117513091572048,0.0023551559092744
R03346__cytop,0.0,2.167282956092695e-16
R04430__chlo,0.0,0.009785300664117178
TR0011422_PLAS__ermem,0.0,0.0
R03657__mito,0.0,0.0
R03877__mito,0.0,0.0
R10115__mito,1.7970196422566908e-06,1.7970196422566927e-06
R01279__pero,0.0,-1.0635525430443932e-33
R01569__cytop,0.0,0.0
R04325__cytop,0.0,0.00015944269151911468
R11101__mito,0.0,0.0
R03664__chlo,0.0,0.0
R03123__cytop,0.0,0.0
T_H2S_V1__mitmem,1.7882459321004732e-14,0.0
R11104__chlo,0.0,0.0
R08094__pero,0.0,0.0
R04144__mito,0.0,0.0
R03661__mito,0.0,0.0
