,minimum,maximum
R02434__chlo,0.0,0.0
T_L_Tyrosine_V2__mitmem,5.083337624089621e-07,5.083337699723564e-07
TR0011455_PLAS__ermem,0.0,0.0
R01652__cytop,-1.6636939626629358e-20,0.0022296850091805733
R00243__mito,-0.0261070892501525,-0.02610708925014796
PKS_C204__cytop,0.0,7.438920245260032e-16
EX_C00188__dra,0.0,0.0
EX_C05839__dra,0.0,0.0
R03362__cytop,0.0,2.5209674164492042e-15
R04537__cytop,0.0,7.090220858763377e-16
R02731__cytop,0.0,2.5209674164492086e-15
TO1000117_PLAS__plas,0.0,0.0
R00010__cytop,-5.046465734351321e-15,1.0083869665796813e-15
R07396__chlo,0.0,0.0
R00848__mito,0.016337645120410638,0.0163376451204221
T_CoA___chlomem,-1.1529920217939112e-15,3.116194653497057e-16
R08174__cytop,0.0,1.815096539843432e-15
TO1000157_PLAS__plas,0.0,2.5209674164491857e-15
TO1000060_PLAS__plas,-6.221670083446915e-16,0.0
R12205__chlo,0.0,0.0
R07084__cytop,0.0,5.370108106045668e-16
R07109__cytop,0.0,0.0
R08183__mito,0.0,0.0
R01731__chlo,0.0,0.0012713638982793833
R04355__mito,0.0,0.0
T_UDPG__chlomem,-0.008786496174851974,-0.008786496174840864
R06610__cytop,0.0,0.0
R03479__nucl,0.0,0.0
EX_C00899__dra,0.0,0.0
R00010__vacu,0.0,0.0
TO0000081_PLAS__ermem,0.0,0.0
TI3000142_PLAS__chlomem,7.118775572705594e-07,7.118775576689684e-07
R01626__chlo,0.07352708756598204,0.07352708756599621
EX_C00181__dra,-2.5232328671756197e-15,0.0
R10039__cytop,0.0,0.0
R08600__extr,0.0,0.0
R05050__cytop,0.0,0.0
R05616__cytop,-1.1214368298559401e-15,0.0
R00177__cytop,0.0017158650085701479,0.001715865008571311
R10035__chlo,0.0,0.0
R00188__cytop,0.0009276890220674571,0.0009276890220690558
EX_C01019__dra,0.0,0.0
R03681__e_r_,0.0,0.0
R00502__cytop,0.0,0.0
R06267__chlo,0.0009795716071414925,0.000979571607141498
R08190__pero,0.0,0.0
R04566__mito,0.0,0.0
R02250__cytop,0.0,0.0
R08163__cytop,0.0,6.132082904876457e-16
R02480__chlo,0.0,0.0
R09540__mito,0.0,0.0
R01954__cytop,0.0016529928916829756,0.0016529928916836146
R07083__e_r_,0.0,0.0
