,minimum,maximum
R02434__chlo,0.0,0.0
T_L_Tyrosine_V2__mitmem,5.22047782010749e-07,5.220477750558089e-07
TR0011455_PLAS__ermem,0.0,-4.2655439062503255e-17
R01652__cytop,4.042281611470637e-17,0.0022898382261581423
R00243__mito,-0.024818767433332,-0.024818767433338957
PKS_C204__cytop,0.0,-4.967665920464232e-16
EX_C00188__dra,0.0,-1.490299776138842e-15
EX_C05839__dra,0.0,0.0
R03362__cytop,0.0,-3.4773661443249913e-15
R04537__cytop,0.0,-8.693415360811048e-16
R02731__cytop,0.0,-3.4773661443250303e-15
TO1000117_PLAS__plas,3.4774684195980895e-15,0.0
R00010__cytop,0.0,-1.7386830721625065e-15
R07396__chlo,0.0,0.0
R00848__mito,0.0,0.0163376451204221
T_CoA___chlomem,1.5697830566991426e-15,-4.3237200817271666e-16
R08174__cytop,0.0,-3.4773661443248982e-15
TO1000157_PLAS__plas,0.0,0.0
TO1000060_PLAS__plas,4.138988937842289e-16,0.0
R12205__chlo,0.0,0.0
R07084__cytop,0.0,-5.151653547147489e-16
R07109__cytop,0.0,0.0
R08183__mito,0.0,0.0
R01731__chlo,0.0,0.0013056631953132821
R04355__mito,0.0,0.0
T_UDPG__chlomem,0.00045992094264929055,0.0004599209426461093
R06610__cytop,0.0,0.0
R03479__nucl,0.0,0.0
EX_C00899__dra,0.0,0.0
R00010__vacu,0.0,0.0
TO0000081_PLAS__ermem,0.0,0.0
TI3000142_PLAS__chlomem,7.310828377922214e-07,7.310828377922087e-07
R01626__chlo,0.07551072688449578,0.07551072688448317
EX_C00181__dra,0.0,0.0
R10039__cytop,0.0,0.0
R08600__extr,0.0,0.0
R05050__cytop,0.0,0.0
R05616__cytop,1.7752347448192146e-16,0.0
R00177__cytop,0.0017621562110223833,0.0017621562110167151
R10035__chlo,0.0,0.0
R00188__cytop,0.0009527165388708913,0.0009527165388671282
EX_C01019__dra,0.0,0.0
R03681__e_r_,0.0,0.0
R00502__cytop,0.0,0.0
R06267__chlo,0.0010059988303532242,0.0010059988303532082
R08190__pero,0.0,0.0
R04566__mito,0.0,0.0
R02250__cytop,0.0,0.0
R08163__cytop,0.0,-1.1345007143864229e-15
R02480__chlo,0.0,0.0
R09540__mito,0.0,0.0
R01954__cytop,0.001697587908318244,0.0016975879083156317
R07083__e_r_,0.0,0.0
T_7_Dehydrocholesterol__ermem,0.0,-3.9120714289186135e-16
R06728__e_r_,0.0,0.0
R05553__cytop,1.9638217829386194e-06,1.963821782172302e-06
R01218__cytop,0.0,-1.1345007143863983e-14
R04716__cytop,0.0,-3.403502143159191e-15
R03530__cytop,0.0,0.0
R01039__cytop,0.0,0.0
T_Glycolate__chlomem,0.001908602447902355,0.0019086024478634322
R09432__cytop,0.0,0.0
R00112__chlo,0.0,0.0179137487180879
TZ2900041_PLAS__plas,-2.816447980863291e-16,0.0
R01229__cytop,0.0,-1.1345007143864044e-14
T_AKGMALth__chlomem,0.009752893778407094,0.009752893778401887
R00351__pero,0.0,0.0
R06875__e_r_,0.0,0.0
