Reaction,Lower bound,Upper bound
R02434__chlo,0.0,1.0
T_L_Tyrosine_V2__mitmem,-0.000856187963143297,0.000856187963143297
TR0011455_PLAS__ermem,-0.0110621647839284,0.0110621647839284
R01652__cytop,0.0,0.044730245155817
R00243__mito,-0.00395308170372375,0.00395308170372375
PKS_C204__cytop,0.0,0.0102453802142428
EX_C00188__dra,0.0,1.0
EX_C05839__dra,0.0,1.0
R03362__cytop,0.0,0.00668201821389686
R04537__cytop,0.0,0.0494456503101741
R02731__cytop,0.0,0.0355417870541318
TO1000117_PLAS__plas,0.0,0.0221771219361732
R00010__cytop,0.0,0.0180492952481908
R07396__chlo,0.0,0.00753854378375564
R00848__mito,0.0,0.017645811856544
T_CoA___chlomem,-1.0,1.0
R08174__cytop,0.0,0.011068958957131
TO1000157_PLAS__plas,0.0,0.000306618615987455
TO1000060_PLAS__plas,0.0,0.0221771219361732
R12205__chlo,0.0,0.0574540978834248
R07084__cytop,0.0,0.100681997432083
R07109__cytop,0.0,0.026621910272569
R08183__mito,0.0,0.011068958957131
R01731__chlo,0.0,0.00643629257830082
R04355__mito,0.0,0.280420175912102
T_UDPG__chlomem,-0.000556100057505801,0.000556100057505801
R06610__cytop,0.0,0.0214069311646457
R03479__nucl,0.0,0.0426954404185624
EX_C00899__dra,0.0,1.0
R00010__vacu,0.0,0.0180492952481908
TO0000081_PLAS__ermem,0.0,0.0231627495387287
TI3000142_PLAS__chlomem,0.0,0.00737089602083835
R01626__chlo,0.0,0.0660060311410156
EX_C00181__dra,0.0,1.0
R10039__cytop,0.0,0.012529828027841
R08600__extr,0.0,0.0113235730588736
R05050__cytop,0.0,0.0576780632100937
R05616__cytop,0.0,0.00708668509521669
R00177__cytop,0.0,0.151131530706806
R10035__chlo,0.0,0.012529828027841
R00188__cytop,0.0,0.0371687891182499
EX_C01019__dra,0.0,1.0
R03681__e_r_,0.0,0.0192898317870762
R00502__cytop,-0.0249929404674179,0.0249929404674179
R06267__chlo,0.0,999999.0
R08190__pero,0.0,0.011068958957131
R04566__mito,0.0,0.194742718301219
