Reaction,Lower bound,Upper bound
R02434__chlo,0.0,1.0
T_L_Tyrosine_V2__mitmem,-0.000372135852622452,0.000372135852622452
TR0011455_PLAS__ermem,-0.0117110109128929,0.0117110109128929
R01652__cytop,0.0,0.0464190452428053
R00243__mito,-0.0152251131133406,0.0152251131133406
PKS_C204__cytop,0.0,0.00694679111858318
EX_C00188__dra,0.0,1.0
EX_C05839__dra,0.0,1.0
R03362__cytop,0.0,0.00634350519274116
R04537__cytop,0.0,0.0563484606032044
R02731__cytop,0.0,0.0344022180524827
TO1000117_PLAS__plas,0.0,0.00830369395356653
R00010__cytop,0.0,0.0137364698956451
R07396__chlo,0.0,0.00471731527349226
R00848__mito,0.0,0.013783008171326
T_CoA___chlomem,-1.0,1.0
R08174__cytop,0.0,0.0276956474245124
TO1000157_PLAS__plas,0.0,0.00040575575397179
TO1000060_PLAS__plas,0.0,0.00830369395356653
R12205__chlo,0.0,0.0123357219969292
R07084__cytop,0.0,0.0893362629457235
R07109__cytop,0.0,0.0215377904609942
R08183__mito,0.0,0.0276956474245124
R01731__chlo,0.0,0.00679573147357757
R04355__mito,0.0,0.181904650073075
T_UDPG__chlomem,-0.000600442035998539,0.000600442035998539
R06610__cytop,0.0,0.0253037843837073
R03479__nucl,0.0,0.0261345891751583
EX_C00899__dra,0.0,1.0
R00010__vacu,0.0,0.0137364698956451
TO0000081_PLAS__ermem,0.0,0.0131474854528428
TI3000142_PLAS__chlomem,0.0,0.0048565093963829
R01626__chlo,0.0,0.0727753579766155
EX_C00181__dra,0.0,1.0
R10039__cytop,0.0,0.0389882308698493
R08600__extr,0.0,0.00750111183838528
R05050__cytop,0.0,0.0508501253635587
R05616__cytop,0.0,0.0110314029485744
R00177__cytop,0.0,0.148968714323604
R10035__chlo,0.0,0.0389882308698493
R00188__cytop,0.0,0.0400715490948124
EX_C01019__dra,0.0,1.0
R03681__e_r_,0.0,0.0161933417803813
R00502__cytop,-0.0120618068108555,0.0120618068108555
R06267__chlo,0.0,999999.0
R08190__pero,0.0,0.0276956474245124
R04566__mito,0.0,0.150751667265944
R02250__cytop,0.0,0.0182206950168935
R08163__cytop,0.0,0.0157470212812303
R02480__chlo,0.0,0.0155581756567427
R09540__mito,0.0,0.380237854987595
R01954__cytop,0.0,0.0359487163132475
R07083__e_r_,0.0,0.0893362629457235
T_7_Dehydrocholesterol__ermem,-1.0,1.0
R06728__e_r_,0.0,0.0431614716068745
R05553__cytop,0.0,0.0333188123580553
R01218__cytop,0.0,0.0218784312750975
R04716__cytop,0.0,0.00628926882644343
R03530__cytop,-0.0940848402521253,0.0940848402521253
R01039__cytop,0.0,0.016264726432069
T_Glycolate__chlomem,-1.0,1.0
R09432__cytop,-1.0,1.0
R00112__chlo,0.0,0.0179603836414462
TZ2900041_PLAS__plas,-0.0030975477550967,0.0030975477550967
R01229__cytop,0.0,0.0251609564524556
T_AKGMALth__chlomem,-0.0156839070982755,0.0156839070982755
R00351__pero,0.0,0.113536227007107
R06875__e_r_,0.0,0.0229263208050607
T_L_Aspartate_V1__mitmem,-0.0260363661657526,0.0260363661657526
R00573__cytop,0.0,0.0101321945352528
R01641__cytop,-0.222648512043806,0.222648512043806
R03458__chlo,0.0,0.0283437851284209
R04224__chlo,0.0,0.0819102522245351
R01220__mito,0.0,0.0700885364580619
R06867__chlo,0.0,0.0383405186609986
T_GLX__permem,0.0,0.00660534365133328
R07024__chlo,0.0,0.0893362629457235
R02887__cytop,0.0,0.0389882308698493
R00139__cytop,0.0,0.0940848402521253
R04463__cytop,0.0,0.0190880739103621
R02107__cytop,0.0,0.00579021278235497
R00897__cytop,0.0,0.0323460196406383
R04955__mito,0.0,0.0196780665201134
RXN_11887__e_r_,0.0,0.0365144823148479
R04742__pero,-0.0741283052940991,0.0741283052940991
R01274__pero,0.0,0.0276956474245124
R07079__e_r_,0.0,0.021200356404238
R10056__nucl,0.0,0.00518133835130502
R04430__cytop,0.0,0.0196780665201134
R01216__mito,0.0,0.0120546294207274
AMOBR__mito,0.0,0.00800283257784588
R03664__cytop,0.0,0.0462202500319239
R00344__mito,0.0,0.0281064057803126
TO0000667_PLAS__plas,0.0,0.0339276082861169
TO1000054_PLAS__plas,0.0,0.00830369395356653
R00842__cytop,-0.00614924595360553,0.00614924595360553
R01786__cytop,0.0,0.0401327044074656
R01773__chlo,0.0,0.00469099313831081
R02853__mito,0.0,0.0375588450487059
R00372__cytop,-0.0288112836747091,0.0288112836747091
T_Ammonia_V2__mitmem,-1.0,1.0
R11921__cytop,0.0,0.0450964334158263
R05637__chlo,0.0,0.0300100504249423
R08344__e_r_,0.0,0.021200356404238
R05616__mito,0.0,0.0110314029485744
R09465__cytop,0.0,0.0215377904609942
