	fluxes	reduced_costs
R02434__chlo	0.0	-2.0
T_L_Tyrosine_V2__mitmem	5.075267903492577e-07	-2.0
TR0011455_PLAS__ermem	0.0	-2.0
R01652__cytop	0.0	-2.0
R00243__mito	-0.003953081703723746	854.9882647349514
PKS_C204__cytop	0.0006310695628631928	-2.0
EX_C00188__dra	0.0	979.9765294699007
EX_C05839__dra	0.0	220.11179782677527
R03362__cytop	0.0	861.111797826863
R04537__cytop	0.0	-2.0
R02731__cytop	0.0	-2.0
TO1000117_PLAS__plas	0.0	272.0
R00010__cytop	0.0	-2.0
R07396__chlo	0.0	-2.0
R00848__mito	0.004731278037027861	-1.9999999999992042
T_CoA___chlomem	0.0	-2.0
R08174__cytop	0.0	1714.2235956537152
TO1000157_PLAS__plas	0.0	-2.0
TO1000060_PLAS__plas	0.0	-2.0
R12205__chlo	0.0	-2.0
R07084__cytop	0.0	-2.0
R07109__cytop	0.0	-2.0
R08183__mito	0.0	-2.0
R01731__chlo	0.0	0.0
R04355__mito	0.0	-2.0
T_UDPG__chlomem	-0.0005561000575058015	774.9882647349859
R06610__cytop	0.0	-2.0
R03479__nucl	0.0	-2.0000000000009095
EX_C00899__dra	-0.0	-2.0
R00010__vacu	0.0	-2.0
TO0000081_PLAS__ermem	0.0	-2.0
TI3000142_PLAS__chlomem	7.107474523711798e-07	-2.000000000001819
R01626__chlo	0.046794961092712764	-2.0
EX_C00181__dra	0.0	40.0
R10039__cytop	0.0	-2.0
R08600__extr	0.0	2.0
R05050__cytop	0.0	-2.0
R05616__cytop	0.0	-2.0
R00177__cytop	0.0035053246270475374	-2.0
R10035__chlo	0.0	-2.0
R00188__cytop	0.0009262163161691431	-2.0
EX_C01019__dra	0.0	458.4823971023834
R03681__e_r_	0.0	-2.0
R00502__cytop	0.0	2.0
R06267__chlo	0.0009780165376623883	-2.0000000000009095
R08190__pero	0.0	-2.0
R04566__mito	0.0	-2.0
R02250__cytop	0.0	-2.0
R08163__cytop	0.0	472.617665459391
R02480__chlo	0.0	-2.0
R09540__mito	0.0	-2.0
R01954__cytop	0.0016503687662221189	-2.0
R07083__e_r_	0.0	-2.0
T_7_Dehydrocholesterol__ermem	0.0	2.0
R06728__e_r_	0.0	-2.0
R05553__cytop	1.9091972305023547e-06	-2.0
R01218__cytop	0.0	274.3705992756077
R04716__cytop	0.0	-2.0
R03530__cytop	0.0	2.0
R01039__cytop	0.0	0.0
T_Glycolate__chlomem	0.0018759369133570774	-2.0
R09432__cytop	0.0	-2.0
R00112__chlo	0.023828917952065338	-4.0
TZ2900041_PLAS__plas	0.0	2.0
R01229__cytop	0.0	-2.0
T_AKGMALth__chlomem	0.009481612818573182	-2.0
R00351__pero	0.0	851.1117978268121
R06875__e_r_	0.0	-2.0
T_L_Aspartate_V1__mitmem	-0.01502727450094224	368.74119855120443
R00573__cytop	0.0	859.1117978268594
R01641__cytop	0.013467400238691016	-2.0000000000001137
R03458__chlo	2.682190158444436e-06	-2.0
R04224__chlo	0.0	-2.0
R01220__mito	0.0	-2.0
R06867__chlo	6.623046756923104e-05	-2.0
T_GLX__permem	0.0	-2.0
R07024__chlo	0.0	-2.0
R02887__cytop	0.0	-2.0
R00139__cytop	0.0	-2.0
R04463__cytop	0.006505805543033802	-2.0
R02107__cytop	0.0	8059.290512567755
R00897__cytop	0.004394750071503511	-2.0
R04955__mito	0.0	-2.0
RXN_11887__e_r_	0.0	-2.0
R04742__pero	0.0	2.0
R01274__pero	0.0	-2.0
R07079__e_r_	0.0	-2.0
R10056__nucl	0.0	-2.0
R04430__cytop	0.0	4.0
R01216__mito	0.005161651478275675	-2.0
AMOBR__mito	1.7934951518642332e-06	-2.0
R03664__cytop	0.00029110341697928397	-2.0
R00344__mito	0.0	0.0
TO0000667_PLAS__plas	0.0	-2.0
TO1000054_PLAS__plas	0.0	-2.0
R00842__cytop	0.0	-2.0
R01786__cytop	0.0	-2.0
R01773__chlo	0.0	2.0
R02853__mito	0.0	-2.0
R00372__cytop	-0.009509943307487459	2.000000000000341
T_Ammonia_V2__mitmem	0.003953081703723746	-2.0
R11921__cytop	0.0	-2.0
R05637__chlo	0.005559523517535408	-2.0
R08344__e_r_	0.0	-2.0
R05616__mito	0.0	-2.0
R09465__cytop	0.0	-2.0
R10288__chlo	0.0	-2.0
R05640__e_r_	0.0	-2.0
R00475__pero	0.0	234.37059927560767
R02558__cytop	0.0	-2.0
R01752__mito	0.0	-2.0
EX_C00777__dra	-0.0	-2.0
R04749__mito	0.0	-2.0
R04208__mito	0.0	-2.0
R01361__cytop	0.0	-2.0
R08174__mito	0.0	-2.0
R04198__chlo	0.0	2.0
R01372__cytop	0.0	-2.0
T_OOA__permem	0.0	2.0
R04964__mito	0.0	-2.0
TO0000304_PLAS__plas	0.0	-2.0
R04798__chlo	0.0	68.49413236748478
R03161__cytop	0.0	-2.0
R10992__cytop	0.0	2.000000000000682
R03313__cytop	0.0014132493045628872	-2.0
R00995__mito	0.0	-2.0
R00513__cytop	0.0	861.1117978268594
TO1000053_PLAS__plas	0.0	-2.0
R02530__chlo	0.0	-2.0
R07100__e_r_	0.0	-2.0
T_AMETtn__nucmem	0.0	-2.0
R07364__cytop	9.227629569255381e-05	-2.0
R00307__cytop	0.0	0.0
T_PNC_V1__permem	0.0	-2.0
R00927__cytop	0.0	2.0
R10280__mito	0.0	-2.0
R04967__chlo	0.0032195917475258034	-6.0
R07215__e_r_	0.0	-2.0
R10764__cytop	0.0	2.0
T_Oxygen_V4__permem	0.036279957363664156	-2.0
R00658__chlo	0.09283801493369312	-2.0
R10170__mito	0.0	-2.0
R08179__mito	0.0	-2.0
EX_e_Biomass__dra	0.009950042451396577	-2.0
R04744__mito	0.0	2.0
R08258__extr	0.0	2.0
R05800__cytop	0.0	0.0
R00155__cytop	0.0	861.1117978268594
R00548__chlo	0.0	86.12353309187347
EX_C00267__dra	0.0	224.11179782677527
R11099__cytop	0.0	772.9882647349514
RXN_11878__e_r_	0.0	-2.0
R00513__nucl	0.0	4.0000000000027285
R04691__cytop	0.0	-2.0
R01799__mito	0.0	-2.0
R02565__mito	0.0	10.0
R04969__mito	0.0	-2.0
R00390__mito	0.0	-2.0
PRISM_fluorescent_cool_215W__extr	0.0	-0.38681575298078474
R07046__e_r_	0.0	-2.0
R04533__mito	0.0	-2.0
R04756__chlo	0.0	-2.0
R02251__chlo	0.0	-2.0
T_Hydrogen_V1__chlomem	0.03243678070237951	-2.0
R10124__mito	1.7934951518642332e-06	-2.0
R02404__mito	0.0	-2.000000000001819
R02581__chlo	0.0	-2.0
TO1100073_PLAS__plas	0.0	-2.0
R04559__cytop	0.006504775305688342	-2.0
R08539__cytop	0.0	-2.0
EX_C14818__dra	-7.107474523709509e-07	2.0
