	fluxes	reduced_costs
R02434__chlo	0.0	-2.0
T_L_Tyrosine_V2__mitmem	5.121829769194619e-07	-2.0
TR0011455_PLAS__ermem	0.0	-2.0
R01652__cytop	0.0	-2.0
R00243__mito	-0.01522511311334061	3424.243254739373
PKS_C204__cytop	0.00016356146123019531	-2.0
EX_C00188__dra	0.0	3877.3018149402333
EX_C05839__dra	0.0	1452.1756806025987
R03362__cytop	0.0	2231.7635209038854
R04537__cytop	0.0	-2.0
R02731__cytop	0.0	-2.0
TO1000117_PLAS__plas	0.0	-2.0
R00010__cytop	0.0	-2.0
R07396__chlo	0.0	-1.9999999999997726
R00848__mito	0.006149245953605534	-2.0
T_CoA___chlomem	0.0	-2.0
R08174__cytop	0.0	2168.763520903871
TO1000157_PLAS__plas	0.0	-2.0
TO1000060_PLAS__plas	0.0	-2.0
R12205__chlo	0.0	-2.0
R07084__cytop	0.0	-2.0
R07109__cytop	0.0	-2.0
R08183__mito	0.0	-2.0
R01731__chlo	0.0012809909249678745	-1.9999999999997726
R04355__mito	0.0	-2.0
T_UDPG__chlomem	0.00045123011496858397	-2.0
R06610__cytop	0.0	-2.0
R03479__nucl	0.0	-2.0
EX_C00899__dra	-0.0	-2.0
R00010__vacu	0.0	-2.0
TO0000081_PLAS__ermem	0.0	-2.0
TI3000142_PLAS__chlomem	7.172680396995347e-07	-1.999999999998181
R01626__chlo	0.07277535797661551	-1170.197920464503
EX_C00181__dra	0.0	1486.175680602595
R10039__cytop	0.0	-2.0
R08600__extr	0.0	2.0
R05050__cytop	0.0	-2.0
R05616__cytop	0.0	-2.0000000000004547
R00177__cytop	0.002005509828503748	-2.0
R10035__chlo	0.0	-2.0
R00188__cytop	0.0009347136725147474	-2.0
EX_C01019__dra	-0.0	-2.0
R03681__e_r_	0.0	-2.0
R00502__cytop	0.0	2.0
R06267__chlo	0.000986989123102023	-2.0
R08190__pero	0.0	-2.0
R04566__mito	0.0	-2.0
R02250__cytop	0.0	-2.0
R08163__cytop	0.0	-2.0
R02480__chlo	0.0	-2.0
R09540__mito	0.0	-2.0
R01954__cytop	0.0016655096909320686	-2.0
R07083__e_r_	0.0	-2.0
T_7_Dehydrocholesterol__ermem	0.0	2.0
R06728__e_r_	0.0	-2.0
R05553__cytop	1.926712716806764e-06	-2.0
R01218__cytop	0.0	36.0
R04716__cytop	0.0	-2.0
R03530__cytop	0.0	2.0
R01039__cytop	0.0	-2.0
T_Glycolate__chlomem	0.0015764349079885787	-2.0
R09432__cytop	0.0	-2.0
R00112__chlo	0.017960383641446247	-4.0
TZ2900041_PLAS__plas	0.0	2.0
R01229__cytop	0.0	-2.0
T_AKGMALth__chlomem	0.009568599671907506	-2.0
R00351__pero	0.0	1231.5039804691971
R06875__e_r_	0.0	-2.0
T_L_Aspartate_V1__mitmem	-0.02603636616575256	2.0
R00573__cytop	0.0	2229.7635209038817
R01641__cytop	0.013592742996296321	-2.000000000007958
R03458__chlo	2.7067972887240382e-06	-2.0
R04224__chlo	0.0	-2.0
R01220__mito	0.0	-2.0
R06867__chlo	6.683808360238344e-05	-2.0
T_GLX__permem	0.0	-2.0
