,flux_c5a,flux_n5a,ratio,ratio_100
T_L_Tyrosine_V2__mitmem,0.0,5.09884031771348e-05,inf,inf
TR2000129_PLAS__mitmem,0.0,7.12325526702051,inf,inf
R00734__mito,0.0,5.09884031771348e-05,inf,inf
R01518__cytop,0.0,-9.010081738617354,inf,inf
R01699__chlo,0.0,0.08793551127512393,inf,inf
R02569__chlo,0.0,0.08793551127512393,inf,inf
R00248__chlo,0.0,-3.269638671906464,inf,inf
R00430__chlo,0.0,0.00026946477663729,inf,inf
T_OAAAKGtm__mitmem,0.0,-0.6144732172524913,inf,inf
TR2000131_PLAS__mitmem,0.0,3.3059094801134172,inf,inf
TR2000109_PLAS__mitmem,0.0,9.010081738617354,inf,inf
R07618__chlo,0.0,0.08793551127512393,inf,inf
R04959__chlo,0.0,0.2550790393839294,inf,inf
R00659__chlo,0.0,0.10094309941112758,inf,inf
T_CoA_AMP__mitmem,0.0,-5.73533193078119e-05,inf,inf
R00355__cytop,-1.1569423166276018,-8.122470164456304,7.020635383216582,702.0635383216583
T_NADth__chlomem,2.0171272331105894,5.128685044273826,2.542568936697631,254.25689366976312
T_NADH__chlomem,-2.0171272331105894,-5.128685044273826,2.542568936697631,254.25689366976312
R01214__chlo,0.08604198360028358,0.19641424179507994,2.282772125611858,228.2772125611858
T_Glycine_V1__mitmem,0.08604198360028358,0.19641424179507994,2.282772125611858,228.2772125611858
T_L_Valine__chlomem,0.08604198360028358,0.19641424179507994,2.282772125611858,228.2772125611858
T_OAACITtm__mitmem,0.8238939663641667,1.7142752961493737,2.080698932308545,208.0698932308545
R00357__cytop,4.1902307448026495,8.43855750484071,2.013864633900525,201.38646339005248
R00345__mito,2.9739662167590484,5.804470441971007,1.9517607191572501,195.176071915725
R02739__cytop,0.1446142977154912,0.27190802398992897,1.880229190925995,188.0229190925995
R00959__cytop,0.1446142977154912,0.27190802398992897,1.880229190925995,188.0229190925995
R00289__cytop,-0.1446142977154912,-0.27190802398992897,1.880229190925995,188.0229190925995
R00214__mito,0.8806133627661676,1.5655726592231336,1.777820693414626,177.7820693414626
R00127__chlo,1.3773224519017482,2.358612520464424,1.7124621160482443,171.24621160482442
R00274__chlo,0.6004517091666209,1.000924985054473,1.6669533449137435,166.69533449137435
R00087__mito,1.3465666591945045,2.1562243947468476,1.6012756442645535,160.12756442645534
R12570__mito,1.5089165927256412,2.402418512549266,1.592147984939076,159.2147984939076
R02016__mito,1.5089165927256412,2.402418512549266,1.592147984939076,159.2147984939076
R02016__chlo,1.5089165927256412,2.402418512549266,1.592147984939076,159.2147984939076
R00472__mito,8.818823606346566,13.974882258780685,1.5846651302474746,158.46651302474746
T_Acetate_V1__mitmem,-1.2344513615175718,-1.936198368855713,1.5684687377844104,156.84687377844105
R00362__mito,1.2344513615175718,1.9361983688557116,1.5684687377844095,156.84687377844097
R00724__mito,1.4844251927606913,2.3217026143202424,1.5640415061956787,156.40415061956787
R00727__mito,1.4844251927606913,2.3217026143202424,1.5640415061956787,156.40415061956787
R00479__mito,9.619913657921128,14.695504554742833,1.5276129368003646,152.76129368003646
R01214__cytop,-0.24014924640028332,-0.35046380799948235,1.4593583500792067,145.93583500792067
T_3_Methyl_2_oxobutanoic_acid__chlomem,0.24014924640028332,0.35046380799948235,1.4593583500792067,145.93583500792067
R01827__cytop,-0.9294529521707398,-1.3531731654391288,1.455881292623569,145.5881292623569
R00243__cytop,6.678418280304475,9.47671195491685,1.4190054526630813,141.90054526630814
TI3000040_PLAS__mitmem,0.315349720356916,0.44701248439125274,1.4175134954466408,141.7513495446641
TO3000349_MITO__mitmem,0.315349720356916,0.44701248439125274,1.4175134954466408,141.7513495446641
T_L_Threonine__chlomem,-0.08604198360028358,-0.11607552592316259,1.349056833259479,134.9056833259479
T_ACCOAtm__mitmem,-0.1705564819477942,-0.22939465088940802,1.344977618379955,134.4977618379955
R04430__chlo,0.7512518338887415,0.9811468109074776,1.306015861324051,130.6015861324051
R00235__chlo,3.018871604248158,3.93079049928664,1.3020727657828273,130.20727657828272
T_Acetate__chlomem,3.018871604248158,3.93079049928664,1.3020727657828273,130.20727657828272
R00895__chlo,0.5364945939032876,0.6963574575328508,1.297976653346075,129.7976653346075
R03105__chlo,0.5364945939032876,0.6963574575328508,1.297976653346075,129.7976653346075
T_L_Cysteine__chlomem,0.5367414279032876,0.696604199120065,1.2978394491389664,129.78394491389665
T_Hydrogen_Peroxide_V2__chlomem,4.945763615636053,6.330386522627024,1.2799614002200752,127.99614002200752
R00945__mito,0.08604198360028358,0.10912154251801084,1.268236016326002,126.8236016326002
T_L_Serine_V1__mitmem,-0.08604198360028358,-0.10912154251801084,1.268236016326002,126.8236016326002
T_H2S__chlomem,-0.6229249637032873,-0.7827554684549944,1.2565806703290798,125.65806703290798
R00586__cytop,0.6229249637032873,0.7827554684549944,1.2565806703290798,125.65806703290798
R00897__cytop,0.6229249637032873,0.7827554684549944,1.2565806703290798,125.65806703290798
