,flux_c5a,flux_p5a,ratio,ratio_100
TR2000108_PLAS__chlomem,71.46263493993658,53.11939902976986,0.7433171065468832,74.33171065468832
R00372__cytop,-1.8688724758146142,-1.388528086144379,0.7429763689676792,74.29763689676791
R01529__cytop,-70.6448856985156,-52.41949110324142,0.7420139559280633,74.20139559280634
R03534__mito,0.6051065956402374,0.4481433341490253,0.7406022961538934,74.06022961538935
R08198__mito,-0.6051065956402374,-0.4481433341490253,0.7406022961538934,74.06022961538935
R10179__mito,0.8010900515745626,0.5914034526664723,0.7382484047880186,73.82484047880186
R00258__mito,-0.8010900515745626,-0.5914034526664723,0.7382484047880186,73.82484047880186
R10178__mito,-0.8010900515745626,-0.5914034526664723,0.7382484047880186,73.82484047880186
R10092__mito,-12.038195182357361,-8.860809093478627,0.7360579355337776,73.60579355337777
T_H2O_V5__permem,-15.30421368928962,-11.203753646776509,0.7320698648253491,73.2069864825349
R00009__pero,7.65192659464481,5.601691779845971,0.7320629269713992,73.20629269713992
TR2000107_PLAS__chlomem,-67.93752575251568,-49.640132020612334,0.7306732394323942,73.06732394323942
R00342__mito,36.11558931377736,26.23575075016456,0.7264383954038417,72.64383954038416
T_Glycine_V1__mitmem,0.08604198360028358,0.06210317835006574,0.7217776224055005,72.17776224055005
T_L_Valine__chlomem,0.08604198360028358,0.06210317835006574,0.7217776224055005,72.17776224055005
T_L_Threonine__chlomem,-0.08604198360028358,-0.06210317835006574,0.7217776224055005,72.17776224055005
R01214__chlo,0.08604198360028358,0.06210317835006574,0.7217776224055005,72.17776224055005
T_Hydrogen_Peroxide_V2__chlomem,4.945763615636053,3.555365030799145,0.7188707967276972,71.88707967276972
T_HCO3__mitmem,-4.016867854613226,-2.871494825317809,0.7148591711873226,71.48591711873226
T_L_Cysteine__chlomem,0.5367414279032876,0.37974583208102924,0.7075023695570849,70.75023695570849
R03105__chlo,0.5364945939032876,0.3794924338135343,0.7073555598249782,70.73555598249783
R00895__chlo,0.5364945939032876,0.3794924338135343,0.7073555598249782,70.73555598249783
R00115__chlo,3.4429175030031973,2.3875217667237534,0.6934588948591303,69.34588948591302
R00357__cytop,4.1902307448026495,2.8871866783198494,0.6890280879879873,68.90280879879873
R01082__mito,-23.628755546106586,-16.117040518567027,0.6820943442035272,68.20943442035272
R00351__mito,25.030621838324222,17.037424527516233,0.6806632546951088,68.06632546951089
R01251__mito,5.032981536896376,3.392175254223355,0.6739892108396576,67.39892108396576
R10507__mito,5.032981536896376,3.392175254223355,0.6739892108396576,67.39892108396576
R00004__chlo,7.29082520246774,4.8729056841712435,0.6683613375509128,66.83613375509128
T_CO2_V2__mitmem,-65.0446183846861,-43.12987304256956,0.6630813449852435,66.30813449852435
EX_C00001__dra,-201.72658286056443,-130.2262618274388,0.6455582600011253,64.55582600011253
T_H2O__plas,201.72658286056443,130.2262618274388,0.6455582600011253,64.55582600011253
T_Hydrogen__plas,92.5525548003948,58.47738606925117,0.631828977550836,63.1828977550836
EX_C00282__dra,92.5525548003948,58.47738606925117,0.631828977550836,63.1828977550836
R00019__chlo,92.5525548003948,58.47738606925117,0.631828977550836,63.1828977550836
T_Hydrogen_V1__chlomem,92.5525548003948,58.47738606925117,0.631828977550836,63.1828977550836
SOX__mito,56.80916869176843,35.156482245615365,0.6188522566905559,61.885225669055586
R11945__mitmem,83.1343054075122,51.22828879250644,0.6162111843166652,61.621118431666524
T_Acetate_V1__mitmem,-1.2344513615175718,-0.7485168699319524,0.6063559029265955,60.63559029265954
R00362__mito,1.2344513615175718,0.7485168699319524,0.6063559029265955,60.63559029265954
T_Oxygen_V2__mitmem,89.93450567662215,53.794785342866966,0.5981551234216718,59.815512342167175
R00344__mito,4.769504671594442,2.8442539707023404,0.5963415839891626,59.634158398916256
R00209__chlo,7.549027108344704,4.490649485288217,0.5948646654512935,59.486466545129346
