,flux_wt,flux_nd,ratio,ratio_100
T_L_Tyrosine_V2__mitmem,5.100750000000002e-05,5.054379504654903e-05,1.009174320072799,100.9174320072799
R00243__mito,-1.5162450755334491,-0.3936811911893495,3.8514541955959944,385.1454195595994
PKS_C204__cytop,0.01628887694127823,0.06284722568414561,0.2591821160593793,25.91821160593793
R00848__mito,0.6123937356648387,0.47118054041498225,1.2997008219513606,129.97008219513606
R01731__chlo,0.1275718787,0.0,inf,inf
TI3000142_PLAS__chlomem,7.143160000000003e-05,7.078222124681804e-05,1.0091743200727992,100.91743200727991
R01626__chlo,7.247583471517204,4.660236596370878,1.5551964630210409,155.5196463021041
R00177__cytop,0.19972565623909042,0.3490897681931636,0.5721326559436002,57.21326559436002
R00188__cytop,0.0930866697999999,0.09224042660269541,1.0091743200727972,100.91743200727971
R06267__chlo,0.09829270000000001,0.09739912921378091,1.0091743200727987,100.91743200727987
R01954__cytop,0.16586550000000003,0.16435763049146454,1.0091743200727987,100.91743200727987
R05553__cytop,0.000191878300007295,0.00019013395028339458,1.0091743201111663,100.91743201111663
T_Glycolate__chlomem,0.15699476347624797,0.18682160779776813,0.8403458536027196,84.03458536027196
R00112__chlo,1.7886463665857895,2.373084471106572,0.7537221655458989,75.37221655458988
T_AKGMALth__chlomem,0.9529218457999992,0.9442589123069017,1.0091743200727998,100.91743200727998
T_L_Aspartate_V1__mitmem,-2.5929207677949515,-1.4965426391990613,1.732607344340462,173.26073443404619
R01641__cytop,1.3536799729999847,1.341197214473671,1.009307176000371,100.93071760003708
R03458__chlo,0.00026956570000000006,0.0002671151005710831,1.0091743200727987,100.91743200727987
R01220__mito,8.637919167764346e-17,0.0,inf,inf
R06867__chlo,0.006656300000000001,0.006595788128576078,1.0091743200727987,100.91743200727987
R04463__cytop,0.6538470136999845,0.6479029447091237,1.009174320072784,100.9174320072784
R00897__cytop,0.5474468930995415,0.4376662494959934,1.2508318695580685,125.08318695580685
R01216__mito,0.671323502360887,0.514040754724975,1.305973303070225,130.5973303070225
AMOBR__mito,0.00018025000000000007,0.0001786113621945883,1.009174320072799,100.9174320072799
R03664__cytop,0.029256500000000005,0.02899053158416628,1.0091743200727987,100.91743200727987
R00372__cytop,-0.8448659001678752,-0.9470803007024371,0.8920741985038113,89.20741985038113
