,flux_wt,flux_nd,ratio
R02434__chlo,0.0,0.0,
T_L_Tyrosine_V2__mitmem,5.100750000000002e-05,5.054379504654903e-05,0.9909090829103369
TR0011455_PLAS__ermem,0.0,0.0,
R01652__cytop,0.0,0.0,
R00243__mito,-1.5162450755334491,-0.3936811911893495,0.2596421894731257
PKS_C204__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798
EX_C00188__dra,0.0,0.0,
EX_C05839__dra,0.0,0.0,
R03362__cytop,0.0,0.0,
R04537__cytop,0.0,0.0,
R02731__cytop,0.0,0.0,
TO1000117_PLAS__plas,0.0,0.0,
R00010__cytop,0.0,0.0,
R07396__chlo,0.0,0.0,
R00848__mito,0.6123937356648387,0.47118054041498225,0.76940783841208
T_CoA___chlomem,4.318959583882173e-16,-1.7275838335528693e-16,-0.4
R08174__cytop,0.0,0.0,
TO1000157_PLAS__plas,0.0,0.0,
TO1000060_PLAS__plas,0.0,0.0,
R12205__chlo,0.0,0.0,
R07084__cytop,0.0,0.0,
R07109__cytop,0.0,0.0,
R08183__mito,0.0,0.0,
R01731__chlo,0.1275718787,0.0,0.0
R04355__mito,0.0,0.0,
T_UDPG__chlomem,0.04493730000000001,-0.05538113033513171,-1.232408941683895
R06610__cytop,0.0,0.0,
R03479__nucl,0.0,0.0,
EX_C00899__dra,0.0,0.0,
R00010__vacu,0.0,0.0,
TO0000081_PLAS__ermem,0.0,0.0,
TI3000142_PLAS__chlomem,7.143160000000003e-05,7.078222124681804e-05,0.9909090829103367
R01626__chlo,7.247583471517204,4.660236596370878,0.6430055776087954
EX_C00181__dra,0.0,0.0,
R10039__cytop,0.0,0.0,
R08600__extr,0.0,0.0,
R05050__cytop,0.0,0.0,
R05616__cytop,0.0,0.0,
R00177__cytop,0.19972565623909042,0.3490897681931636,1.7478463947329346
R10035__chlo,0.0,0.0,
R00188__cytop,0.0930866697999999,0.09224042660269541,0.9909090829103386
EX_C01019__dra,0.0,0.0,
R03681__e_r_,0.0,0.0,
R00502__cytop,0.0,0.0,
R06267__chlo,0.09829270000000001,0.09739912921378091,0.9909090829103372
R08190__pero,0.0,0.0,
R04566__mito,0.0,0.0,
R02250__cytop,0.0,0.0,
R08163__cytop,0.0,0.0,
R02480__chlo,0.0,0.0,
R09540__mito,0.0,0.0,
R01954__cytop,0.16586550000000003,0.16435763049146454,0.9909090829103371
R07083__e_r_,0.0,0.0,
T_7_Dehydrocholesterol__ermem,0.0,0.0,
R06728__e_r_,0.0,0.0,
R05553__cytop,0.000191878300007295,0.00019013395028339458,0.9909090828726641
R01218__cytop,0.0,0.0,
R04716__cytop,0.0,0.0,
R03530__cytop,0.0,0.0,
R01039__cytop,0.0,0.0,
T_Glycolate__chlomem,0.15699476347624797,0.18682160779776813,1.1899862368723702
R09432__cytop,0.0,0.0,
R00112__chlo,1.7886463665857895,2.373084471106572,1.326748828297665
TZ2900041_PLAS__plas,0.0,0.0,
R01229__cytop,0.0,0.0,
T_AKGMALth__chlomem,0.9529218457999992,0.9442589123069017,0.990909082910336
R00351__pero,0.0,0.0,
R06875__e_r_,0.0,0.0,
T_L_Aspartate_V1__mitmem,-2.5929207677949515,-1.4965426391990613,0.5771648165214619
R00573__cytop,0.0,0.0,
R01641__cytop,1.3536799729999847,1.341197214473671,0.9907786487387785
R03458__chlo,0.00026956570000000006,0.0002671151005710831,0.9909090829103371
R04224__chlo,0.0,0.0,
R01220__mito,8.637919167764346e-17,0.0,0.0
R06867__chlo,0.006656300000000001,0.006595788128576078,0.9909090829103371
T_GLX__permem,0.0,0.0,
R07024__chlo,0.0,0.0,
R02887__cytop,0.0,0.0,
R00139__cytop,0.0,0.0,
R04463__cytop,0.6538470136999845,0.6479029447091237,0.9909090829103514
R02107__cytop,0.0,0.0,
R00897__cytop,0.5474468930995415,0.4376662494959934,0.7994679575547672
R04955__mito,0.0,0.0,
RXN_11887__e_r_,0.0,0.0,
R04742__pero,0.0,0.0,
R01274__pero,0.0,0.0,
R07079__e_r_,0.0,0.0,
R10056__nucl,0.0,0.0,
R04430__cytop,0.0,0.0,
R01216__mito,0.671323502360887,0.514040754724975,0.7657124365782138
AMOBR__mito,0.00018025000000000007,0.0001786113621945883,0.990909082910337
R03664__cytop,0.029256500000000005,0.02899053158416628,0.9909090829103371
R00344__mito,0.0,0.0,
TO0000667_PLAS__plas,0.0,0.0,
TO1000054_PLAS__plas,0.0,0.0,
R00842__cytop,-0.11352183000000005,0.0,-0.0
R01786__cytop,0.0,0.0,
R01773__chlo,0.0,0.0,
R02853__mito,0.0,0.0,
R00372__cytop,-0.8448659001678752,-0.9470803007024371,1.1209829873761645
T_Ammonia_V2__mitmem,0.9622753624354164,0.3936811911893495,0.4091149026126829
R11921__cytop,0.0,0.0,
R05637__chlo,0.5587436983000001,0.5536642056643832,0.9909090829103371
R08344__e_r_,0.0,0.0,
R05616__mito,0.0,0.0,
R09465__cytop,0.0,0.0,
R10288__chlo,0.0,0.0,
R05640__e_r_,0.0,0.0,
R00475__pero,0.0,0.0,
R02558__cytop,0.0,0.0,
R01752__mito,0.0,0.0,
EX_C00777__dra,0.0,0.0,
R04749__mito,0.0,0.0,
R04208__mito,0.0,0.0,
R01361__cytop,0.0,0.0,
R08174__mito,2.758165979360245,0.0,0.0
R04198__chlo,0.0,0.0,
R01372__cytop,0.0,0.0,
T_OOA__permem,0.0,0.0,
R04964__mito,0.0,0.0,
TO0000304_PLAS__plas,0.0,0.0,
R04798__chlo,0.020573280000000003,0.020386250017257586,0.9909090829103372
R03161__cytop,0.0,0.0,
R10992__cytop,0.0,0.0,
R03313__cytop,0.14203450000000004,0.1407432761366283,0.990909082910337
R00995__mito,0.0,0.0,
R00513__cytop,0.0,0.0,
TO1000053_PLAS__plas,0.0,0.0,
R02530__chlo,0.0,0.0,
R07100__e_r_,0.0,0.0,
T_AMETtn__nucmem,0.0,0.0,
R07364__cytop,0.009273960000000005,0.009189651198547151,0.9909090829103367
R00307__cytop,0.0,0.0,
T_PNC_V1__permem,0.0,0.0,
R00927__cytop,0.0,0.0,
R10280__mito,0.0,0.0,
R04967__chlo,0.9652254055025709,0.32063407976500846,0.33218570288052207
R07215__e_r_,0.0,0.0,
R10764__cytop,0.0,0.0,
T_Oxygen_V4__permem,0.0,3.6130639082237983,inf
R00658__chlo,8.667873938306712,9.24559193313971,1.0666504841838824
R10170__mito,0.0,0.0,
R08179__mito,0.0,0.0,
EX_e_Biomass__dra,1.0,0.9909090829103372,0.9909090829103372
R04744__mito,0.0,0.0,
R08258__extr,0.0,0.0,
R05800__cytop,0.0,0.0,
R00155__cytop,0.0,0.0,
R00548__chlo,0.0,0.0,
EX_C00267__dra,0.0,0.0,
R11099__cytop,0.0,0.0,
RXN_11878__e_r_,0.0,0.0,
R00513__nucl,0.0,0.0,
R04691__cytop,0.0,0.0,
R01799__mito,0.0,0.0,
R02565__mito,0.0,0.0,
R04969__mito,0.0,0.0,
R00390__mito,0.0,0.0,
PRISM_fluorescent_cool_215W__extr,0.0,0.0,
R07046__e_r_,0.0,0.0,
R04533__mito,0.0,0.0,
R04756__chlo,0.0,0.0,
R02251__chlo,0.0,0.0,
T_Hydrogen_V1__chlomem,2.360058169130361,3.2303279877143782,1.36874930879551
R10124__mito,0.00018025000000000007,0.0001786113621945883,0.990909082910337
R02404__mito,0.0,0.0,
R02581__chlo,0.0,0.0,
TO1100073_PLAS__plas,0.0,0.0,
R04559__cytop,0.6537434726999846,0.6478003449917701,0.9909090829103514
R08539__cytop,0.0,0.0,
EX_C14818__dra,-7.143160000000725e-05,-7.078222124680086e-05,0.990909082909996
T_MALOAAth__chlomem,20.710411981012,50.497541387848564,2.438268318087849
R05506__mito,0.0,0.0,
R07136__cytop,0.0,0.0,
R03393__e_r_,0.0,0.0,
TO0000021_PLAS__plas,7.143160000000725e-05,7.078222124680086e-05,0.990909082909996
R10245__cytop,0.0,0.0,
TO1000227_PLAS__plas,0.0,0.0,
R02691__chlo,0.027737300000000003,0.027485142505408896,0.9909090829103371
R03183__cytop,0.0,0.0,
R01209__chlo,0.47741170387443427,0.37440460511593665,0.7842384300122021
R03346__cytop,0.0,0.0,
R04430__chlo,0.9652254055025709,0.32063407976500846,0.33218570288052207
TR0011422_PLAS__ermem,0.0,0.0,
R03657__mito,0.0,0.0,
R03877__mito,0.0,0.0,
R10115__mito,0.00018025000000000007,0.0001786113621945883,0.990909082910337
R01279__pero,0.0,0.0,
R01569__cytop,0.0,0.0,
R04325__cytop,0.0,0.0,
R11101__mito,0.0,0.0,
R03664__chlo,0.0,0.0,
R03123__cytop,0.0,0.0,
T_H2S_V1__mitmem,-0.6502687357274681,-0.3520216110218741,0.5413478946178472
R11104__chlo,0.0,0.0,
R08094__pero,0.0,0.0,
R04144__mito,0.0,0.0,
R03661__mito,0.0,0.0,
T_L_Asparagine_V1__ermem,0.0,0.0,
R08569__e_r_,0.0,0.0,
R02313__cytop,0.0,0.0,
R01880__cytop,0.0,0.0,
R03217__mito,0.0,0.0,
R04536__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441
R12024__mito,0.0,0.0,
EX_C00041__dra,0.0,0.0,
R10039__extr,0.0,0.0,
R04203__mito,0.0,0.0,
R08220__extr,0.0,0.0,
TO1100709_PLAS__plas,0.0,0.0,
R01547__cytop,0.0,0.0,
R00472__mito,0.0,0.8198431458998453,inf
RXN_14485__e_r_,0.03334190951886002,0.033038800983813,0.9909090829103365
R01010__cytop,0.0,0.0,
R04831__mito,0.0,0.0,
R11372__mito,0.0,0.0,
R01059__chlo,0.0,0.0,
R03165__chlo,0.09836413160000002,0.09746991143502773,0.9909090829103372
R04726__mito,0.0,0.0,
R02106__mito,0.0,0.0,
R01858__mito,0.0,0.0,
PKS_C185__cytop,0.0,0.26847603226566974,inf
R00662__chlo,0.0,0.0,
PRISM_solar_litho__extr,0.0,0.0,
R00751__mito,0.0,0.0,
TO1000226_PLAS__plas,0.0,0.0,
R04770__cytop,0.0,0.0,
R05799__cytop,0.0,0.0,
EX_C00027__dra,5.3648291271023565,99.58842763569804,18.563205887134675
R00014__mito,0.0,0.0,
R02057__golg,0.0,0.0,
R03530__chlo,0.0,0.0,
R00087__cytop,0.0,0.0,
R02976__cytop,0.0,0.0,
R09409__e_r_,0.0,0.0,
TI3000022_PLAS__plas,0.0,0.0,
R00335__nucl,0.0,0.0,
TO1025981_PLAS__plas,0.0,0.0,
R07481__e_r_,0.0,0.0,
T_FAD__chlomem,2.1735165171761093,1.5477880960456416,0.7121124149802042
R04941__mito,0.0,0.0,
R04998__e_r_,0.0,0.0,
R04463__chlo,0.0,0.0,
R05548__cytop,0.0,0.0,
R03471__chlo,0.0,0.0,
R04170__pero,0.0,0.0,
R05202__cytop,0.0,0.0,
R02840__e_r_,0.0,0.0,
T_Tetradecanoic_acid__chlomem,0.011082126308961006,0.010981379617509066,0.9909090829103369
R04552__mito,0.0,0.0,
R07092__e_r_,0.0,0.0,
EX_C00077__dra,0.0,0.0,
R12391__mito,0.0,0.0,
R07052__chlo,0.0,0.0,
R09404__e_r_,0.0,0.0,
T_Methanol__mitmem,0.00018025000000000007,0.0001786113621945883,0.990909082910337
R10993__chlo,0.0,0.0,
R03283__cytop,0.0,0.0,
R07263__pero,0.0,0.0,
R02530__cytop,0.0,0.0,
R03050__chlo,0.0,0.0,
R04801__chlo,0.0,0.0,
R00236__chlo,0.8611546152713242,1.7585751032430084,2.042113079413659
R05578__chlo,0.7869130528000001,0.7797592914802218,0.9909090829103372
R04962__chlo,0.9652254055025709,0.32063407976500846,0.33218570288052207
T_Farnesyl_diphosphate__chlomem,0.0,0.0,
e_Cofactor__cytop,0.10000000000000003,0.09909090829103372,0.9909090829103369
TO1102611_PLAS__plas,0.0,0.0,
T_L_Tyrosine_V1__vacmem,0.0,0.0,
R00209__chlo,5.907181728960613,2.974360188618737,0.5035159446740239
R02063__chlo,0.09829270000000001,0.09739912921378091,0.9909090829103372
R03067__cytop,0.0,0.0,
R03352__pero,0.0,0.0,
R05688__chlo,0.5587436983000001,0.5536642056643832,0.9909090829103371
R01185__mito,0.0,0.0,
R04591__cytop,0.6537434726999846,0.6478003449917701,0.9909090829103514
R11044__e_r_,0.03592140054213302,0.035594842068059906,0.9909090829103369
R00515__chlo,0.0,0.0,
RXN_21836__e_r_,0.0,0.0,
R09394__mito,0.0,0.0,
R01274__chlo,0.0,0.0,
R10118__cytop,0.0,0.0,
R05320__chlo,0.0,0.0,
R11891__cytop,0.0,0.0,
R03596__cytop,0.0,0.0,
R04804__e_r_,0.0,0.0,
R00899__nucl,0.0,0.0,
R01775__cytop,0.0,0.0,
R00316__mito,0.0,0.0,
R06517__e_r_,0.0,0.0,
R00987__cytop,0.0,0.0,
T_CO2_V5__nucmem,0.0,0.0,
R04928__cytop,0.0,0.0,
PEROX__pero,5.180760366854921,11.452950882169887,2.2106698768471738
R00925__mito,0.0,0.0,
T_AHCYStn__nucmem,0.0,0.0,
EX_C05361__dra,0.0,0.0,
R12479__golg,0.0,0.0,
T__5Z_8Z_11Z_14Z_17Z__Icosapentaenoyl_CoA__ermem,0.2709391173175501,0.0,0.0
R07055__e_r_,0.0,0.0,
R00897__chlo,0.0,0.0,
R02484__cytop,0.0,0.0,
R08391__chlo,0.0,0.0,
R11100__cytop,0.0,0.0,
TR2000009_PLAS__mitmem,8.003200107771246,13.768890974905677,1.720423179414925
EX_C00073__dra,0.0,0.0,
TO1000259_PLAS__plas,0.0,0.0,
R03270__chlo,0.0,0.0,
TZ2900034_PLAS__plas,0.0930866697999999,0.09224042660269541,0.9909090829103386
R01354__mito,0.0,0.0,
