,flux_wt,flux_nd,ratio,ratio_100
T_L_Tyrosine_V2__mitmem,5.100750000000002e-05,5.054379504654903e-05,0.9909090829103369,99.09090829103368
R00243__mito,-1.5162450755334491,-0.3936811911893495,0.2596421894731257,25.964218947312567
PKS_C204__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
R00848__mito,0.6123937356648387,0.47118054041498225,0.76940783841208,76.940783841208
T_CoA___chlomem,4.318959583882173e-16,-1.7275838335528693e-16,-0.4,-40.0
R01731__chlo,0.1275718787,0.0,0.0,0.0
T_UDPG__chlomem,0.04493730000000001,-0.05538113033513171,-1.232408941683895,-123.2408941683895
TI3000142_PLAS__chlomem,7.143160000000003e-05,7.078222124681804e-05,0.9909090829103367,99.09090829103367
R01626__chlo,7.247583471517204,4.660236596370878,0.6430055776087954,64.30055776087954
R00177__cytop,0.19972565623909042,0.3490897681931636,1.7478463947329346,174.78463947329345
R00188__cytop,0.0930866697999999,0.09224042660269541,0.9909090829103386,99.09090829103387
R06267__chlo,0.09829270000000001,0.09739912921378091,0.9909090829103372,99.09090829103371
R01954__cytop,0.16586550000000003,0.16435763049146454,0.9909090829103371,99.09090829103371
R05553__cytop,0.000191878300007295,0.00019013395028339458,0.9909090828726641,99.09090828726642
T_Glycolate__chlomem,0.15699476347624797,0.18682160779776813,1.1899862368723702,118.99862368723701
R00112__chlo,1.7886463665857895,2.373084471106572,1.326748828297665,132.6748828297665
T_AKGMALth__chlomem,0.9529218457999992,0.9442589123069017,0.990909082910336,99.0909082910336
T_L_Aspartate_V1__mitmem,-2.5929207677949515,-1.4965426391990613,0.5771648165214619,57.71648165214619
R01641__cytop,1.3536799729999847,1.341197214473671,0.9907786487387785,99.07786487387786
R03458__chlo,0.00026956570000000006,0.0002671151005710831,0.9909090829103371,99.09090829103371
R01220__mito,8.637919167764346e-17,0.0,0.0,0.0
R06867__chlo,0.006656300000000001,0.006595788128576078,0.9909090829103371,99.09090829103371
R04463__cytop,0.6538470136999845,0.6479029447091237,0.9909090829103514,99.09090829103513
R00897__cytop,0.5474468930995415,0.4376662494959934,0.7994679575547672,79.94679575547671
