Geneid	Length
Ng00001	448
Ng00002	378
Ng00003	573
Ng00004	1287
Ng00005	609
Ng00006	4605
Ng00007	573
Ng00008	2047
Ng00009	2223
Ng00010	1308
Ng00011	1299
Ng00012	1071
Ng00013	1023
Ng00014	2010
Ng00015	1044
Ng00016	3234
Ng00017	1167
Ng00018	5399
Ng00019	2159
Ng00020	354
Ng00021	2670
Ng00022	621
Ng00023	528
Ng00024	2376
Ng00025	2283
Ng00026	300
Ng00027	1278
Ng00028	978
Ng00029	651
Ng00030	387
Ng00031	774
Ng00032	318
Ng00033	1655
Ng00034	1522
Ng00035	375
Ng00036	1918
Ng00037	1738
Ng00038	2551
Ng00039	1594
Ng00040	297
Ng00041	2139
Ng00042	951
Ng00043	549
Ng00044	1083
Ng00045	1866
Ng00046	3133
Ng00047	1167
Ng00048	930
Ng00049	2228
Ng00050	516
Ng00051	1320
Ng00052	204
Ng00053	222
Ng00054	1008
Ng00055	837
Ng00056	240
Ng00057	1860
Ng00058	2175
Ng00059	2952
Ng00060	1079
Ng00061	702
Ng00062	1694
Ng00063	3061
Ng00064	1161
Ng00065	267
Ng00066	1760
Ng00067	1626
Ng00068	2643
Ng00069	306
Ng00070	783
Ng00071	723
Ng00072	951
Ng00073	1026
Ng00074	3420
Ng00075	213
Ng00076	2097
Ng00077	948
Ng00078	1767
Ng00079	2214
Ng00080	2919
Ng00081	7104
Ng00082	1461
Ng00083	2263
Ng00084	543
Ng00085	504
Ng00086	951
Ng00087	951
Ng00088	3350
Ng00089	243
Ng00090	1074
Ng00091	2385
Ng00092	2537
Ng00093	2379
Ng00094	354
Ng00095	1115
Ng00096	288
Ng00097	1152
Ng00098	225
Ng00099	1260
Ng00100	1436
Ng00101	1614
Ng00102	2016
Ng00103	1968
Ng00104	975
Ng00105	1230
Ng00106	2013
Ng00107	3021
Ng00108	1134
Ng00109	970
Ng00110	2073
Ng00111	216
Ng00112	1923
Ng00113	2292
Ng00114	3580
Ng00115	1023
Ng00116	678
Ng00117	1848
Ng00118	2673
Ng00119	2950
Ng00120	291
Ng00121	1272
Ng00122	411
Ng00123	936
Ng00124	777
Ng00125	2280
Ng00126	1470
Ng00127	1548
Ng00128	1753
Ng00129	645
Ng00130	1005
Ng00131	798
Ng00132	2427
Ng00133	1389
Ng00134	1164
Ng00135	1751
Ng00136	6538
Ng00137	960
Ng00138	2583
Ng00139	1635
Ng00140	3353
Ng00141	531
Ng00142	1745
